	GSM2345472	GSM2345460	GSM2345464	GSM2345473	GSM2345470	GSM2345461	GSM2345466	GSM2345463	GSM2345469	GSM2345471	GSM2345462	GSM2345465	GSM2345468	GSM2345467	GSM2345459
Timp4	3	7	2	5	2	3	8	16	5	3	6	16	2	3	4
Tinag	0	2	0	0	4	21	1	1	24	2	0	6	19	2	1
Tinagl1	5	20	31	1	19	70	19	211	42	2	94	21	47	22	14
Tinf2	179	176	133	75	96	69	136	101	131	65	72	139	123	96	154
Tiparp	548	1518	754	832	334	1453	2387	1105	1469	690	258	2154	294	315	1280
Tipin	184	395	342	133	112	231	402	172	268	103	99	398	194	125	278
Tiprl	835	761	799	426	447	574	900	600	882	381	498	850	890	444	760
Tirap	36	51	27	23	8	45	46	89	47	19	67	49	23	20	63
Tjap1	337	333	319	167	201	176	335	242	300	122	129	282	364	256	348
Tjp1	1073	2674	1530	1633	568	1814	3497	1831	3070	1314	1673	3779	1142	533	2542
Tjp2	616	598	748	414	356	557	968	692	819	359	791	1096	705	403	566
Tjp3	278	132	190	102	174	143	197	212	213	87	178	142	297	214	165
Tk1	73	201	115	31	57	78	152	103	84	52	24	185	80	56	138
Tk2	462	291	282	201	355	224	295	263	399	130	202	290	461	324	262
Tkfc	369	298	331	154	235	214	343	201	260	140	192	304	361	281	369
Tkt	2158	1177	1512	745	1445	943	1487	1278	1479	628	1065	1327	2193	1432	1304
Tktl1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Tktl2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Tlcd1	90	171	170	63	68	132	186	266	118	40	117	201	110	59	137
Tlcd2	41	41	54	19	22	48	53	96	32	13	44	69	24	10	63
Tldc1	167	170	129	84	157	101	161	103	169	63	144	119	228	142	154
Tldc2	3	11	11	3	6	12	13	15	9	3	10	16	6	1	9
Tle1	645	1007	657	324	275	766	799	1091	707	269	511	824	676	334	1107
Tle2	214	453	219	130	135	180	324	295	293	114	85	335	258	189	272
Tle3	1951	2896	2402	1092	1534	1979	3140	2514	2313	948	2986	3103	2111	1614	2736
Tle4	69	112	67	35	16	50	107	60	98	32	70	96	56	27	123
Tle6	112	243	130	54	121	185	120	158	215	59	39	149	253	127	216
Tlk1	966	2175	1415	1008	488	1508	2515	1540	1971	960	1112	2674	842	490	2150
Tlk2	396	875	602	428	257	596	896	706	715	356	583	980	390	267	836
Tll1	3	7	2	4	1	0	7	5	2	2	5	9	2	1	5
Tll2	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1
Tln1	1775	2061	1413	1005	1121	1462	1990	1334	2190	791	1700	1708	2258	1169	1988
Tln2	166	315	191	162	92	262	333	353	369	173	117	310	234	90	344
Tlr1	1	1	0	2	0	2	0	2	4	1	2	8	1	2	2
Tlr11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tlr12	8	1	6	2	4	0	2	2	5	3	0	9	10	3	2
Tlr13	0	4	1	2	1	2	4	3	11	2	8	9	3	2	1
Tlr2	432	286	1217	282	284	410	1079	453	615	245	370	1299	370	327	263
Tlr3	26	43	22	25	14	39	51	67	54	25	132	46	32	17	39
Tlr4	0	3	3	6	1	2	2	29	4	2	3	7	2	2	1
Tlr5	5	3	4	0	8	9	9	16	3	1	7	9	2	0	2
