	GSM2517014	GSM2517015	GSM2517016	GSM2517017	GSM2517018	GSM2517019	GSM2517020	GSM2517021	GSM2517022	GSM2517023	GSM2517024	GSM2517025
Frg2f1	29	30	35	14	27	63	50	69	46	35	43	57
Frg2f4	0	0	0	0	0	0	0	0	0	0	0	0
Frk	471	141	133	85	318	452	461	446	403	429	310	343
Frmd3	0	0	3	0	1	1	0	1	8	0	0	2
Frmd4a	413	545	498	280	583	474	463	450	411	408	353	423
Frmd4b	592	481	436	255	761	390	525	475	394	453	360	458
Frmd5	198	146	179	102	67	265	269	307	211	248	187	222
Frmd6	145	159	114	66	666	222	215	194	166	132	74	190
Frmd7	0	0	0	0	5	3	2	0	4	2	1	1
Frmd8	72	43	39	25	233	226	89	126	80	86	47	128
Frmd8os	1	0	2	0	11	12	23	8	4	16	13	11
Frmpd1	3	7	2	2	8	2	3	11	2	3	1	1
Frmpd1os	0	0	0	0	0	0	0	0	0	0	0	0
Frmpd2	0	0	7	2	0	2	1	0	0	1	0	4
Frmpd3	6	8	4	4	1	3	5	8	4	3	5	1
Frmpd4	14	1	4	3	2	6	5	7	6	7	1	7
Frrs1	149	129	134	78	188	204	155	159	84	152	110	152
Frrs1l	73	39	43	16	44	92	102	107	127	159	89	136
Frs2	615	900	927	466	423	645	502	513	414	605	421	420
Frs3	30	63	39	25	9	47	40	81	35	48	42	51
Frs3os	0	4	0	0	2	2	3	6	0	4	2	5
Fry	739	586	661	262	1027	713	807	679	828	970	773	624
Fryl	1220	1089	1201	536	825	1568	1208	1049	1334	1286	992	896
Frzb	2359	1795	1318	714	733	1052	1295	2297	1831	1796	1397	2097
Fsbp	12	4	11	0	6	28	13	15	13	17	12	13
Fscb	0	0	0	0	0	0	0	0	0	0	0	0
Fscn1	51	114	87	52	317	101	107	161	100	45	63	105
Fscn2	9	15	13	7	0	5	9	7	5	12	13	6
Fscn3	0	0	0	0	0	0	1	1	1	1	0	0
Fsd1	2	8	4	0	0	2	1	3	3	4	3	0
Fsd1l	220	112	106	50	112	265	230	150	162	249	122	146
Fsd2	0	1	2	3	230	13	64	5	14	6	20	2
Fshb	0	0	0	0	0	0	0	0	0	0	0	0
Fshr	0	0	0	0	0	0	0	0	0	0	0	0
Fsip1	7	0	0	0	4	2	2	2	2	6	2	6
Fsip2	0	0	0	0	0	0	0	0	0	0	0	0
Fsip2l	0	0	1	0	0	0	0	0	0	0	0	0
Fst	3	6	5	1	191	34	83	24	10	20	17	17
Fstl1	183	211	165	101	6290	952	1218	705	587	715	369	777
Fstl3	53	39	19	15	106	28	61	71	43	32	38	54
Fstl4	26	12	12	8	1	1	3	15	2	4	2	5
Fstl5	28	19	23	14	14	40	27	34	10	37	14	23
Ftcd	0	1	0	1	4	2	2	1	0	0	0	1
Ftdc1	0	0	0	0	0	0	0	0	0	0	0	0
Ftdc2	0	0	0	0	0	0	0	0	0	0	0	0
