	GSM4191298	GSM4191299	GSM4191296	GSM4191292	GSM4191295	GSM4191294	GSM4191293	GSM4191290	GSM4191301	GSM4191291
Emb	6.26953125	5.6015625	5.8046875	6.3203125	6.5234375	5.953125	5.83984375	6.2265625	5.84765625	5.8046875
Emb	7.20703125	6.77734375	6.890625	7.5234375	7.609375	7.03125	6.7890625	7.25	6.96875	7.07421875
Eif3c	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eif3c	8.9140625	9.6015625	9.8671875	9.671875	8.8203125	9.2421875	9.6328125	9.2578125	9.21875	9.046875
Kpna2	8.9296875	8.328125	9.109375	8.9765625	9.203125	8.7578125	8.4453125	9.0625	8.875	9.078125
Tyrp1	3.05078125	3.42578125	3.298828125	3.328125	3.15625	3.177734375	3.4140625	3.388671875	3.353515625	2.884765625
Tyrp1	3.388671875	3.638671875	3.453125	3.78515625	3.501953125	3.66796875	3.939453125	3.490234375	3.43359375	3.37109375
Eif4g2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bpgm	6.3203125	6.359375	6.5625	6.30078125	6.48828125	6.40625	6.29296875	6.7265625	6.1171875	6.72265625
Bpgm	7.10546875	7.42578125	7.015625	7.0078125	7.02734375	7.140625	7.06640625	7.28125	6.7734375	7.3125
Unc45a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cct4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cct4	4.51171875	4.48046875	4.8125	4.5546875	4.61328125	4.21875	4.70703125	4.3515625	4.98828125	4.41796875
Trim28	9.3984375	8.984375	9.1171875	9.5390625	9.40625	9.5546875	9.3125	9.390625	9.140625	9.3671875
Calu	10.3671875	10.15625	10.7421875	10.53125	10.59375	10.5078125	10.4296875	10.5859375	10.34375	10.515625
Tgfbi	8.71875	7.28515625	8.6328125	9.0859375	8.890625	9.125	9.203125	8.9609375	8.3984375	8.375
Hnrnph1	10.7421875	10.2890625	10.5078125	10.8828125	10.90625	10.8828125	10.6875	10.890625	10.6015625	10.8359375
Actr1a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Spry1	7.8828125	7.140625	7.6484375	8.1484375	8.171875	8.328125	7.96484375	7.984375	7.85546875	8.0625
3010003L21Rik	3.4296875	3.458984375	3.373046875	3.41796875	3.4140625	3	3.521484375	3.248046875	3.58984375	3.322265625
Rps26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dpysl3	6.79296875	6.12890625	7.7421875	7.51171875	7.13671875	7.17578125	7.41796875	7.46875	6.453125	7.1171875
Rrm1	7.6015625	7.1328125	7.90625	7.9140625	8.1171875	7.80859375	7.51171875	7.765625	7.61328125	7.9140625
Rplp2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lamp1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ghitm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ghitm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cela3b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cela3b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chgb	13.125	5.54296875	4.55078125	5.828125	4.28125	5.35546875	6.84375	6.79296875	4.62890625	4.19921875
Sh2d3c	7.703125	7.62109375	7.21484375	7.859375	7.88671875	7.85546875	7.9140625	8.1171875	7.53515625	7.94140625
Tfg	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hdgf	9.3125	8.296875	8.375	8.796875	9.28125	8.5859375	8.609375	8.5546875	9.3125	9.4140625
Hsp90b1	10.890625	10.421875	10.984375	10.8046875	10.796875	10.5390625	10.59375	10.8671875	10.984375	10.6484375
Papss1	9.0703125	9.2265625	9.0390625	8.6328125	9.0625	8.78125	8.7890625	8.828125	9	9.0078125
Suclg1	11.8125	12.1328125	11.09375	11.8203125	11.234375	11.71875	11.984375	11.8125	11.1015625	11.9296875
Sgpl1	8.5625	9.2109375	8.6875	9.5390625	9.359375	9.375	9.3984375	9.4609375	9.1015625	9.328125
Sgpl1	7.7890625	8.3046875	7.796875	8.6484375	8.46875	8.234375	8.6484375	8.4765625	8.234375	8.4921875
Enpp2	7.05859375	7.0078125	7.55078125	7.375	7.2578125	7.15625	7.05859375	7.03125	7.734375	7.078125
Snurf///Snrpn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Snurf///Snrpn	10.4296875	10.734375	10.28125	10.5546875	10.2421875	10.421875	10.6640625	10.484375	10.2890625	10.453125
Mgst1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mgst1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Junb	6.63671875	6.3984375	6.234375	7.703125	7.46875	8.0234375	7.08203125	7.90234375	6.28515625	7.91015625
Kit	5.0234375	5.328125	5.1640625	5.640625	5.76171875	5.77734375	5.875	5.55859375	5.80859375	5.42578125
Plod3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aldh7a1	4.04296875	3.841796875	3.78125	3.73828125	3.630859375	3.923828125	4.11328125	3.759765625	3.837890625	3.412109375
Slc38a1	6.42578125	6.3359375	6.2734375	6.77734375	6.62109375	6.52734375	6.65234375	6.453125	6.12109375	6.2109375
Lpl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Reg1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tmsb4x	12.8125	12.59375	13.125	13.2578125	13.203125	13.1640625	13.0703125	13.1953125	12.8984375	13.1171875
Ccnd3	9.7890625	9.4375	9.5078125	9.90625	9.75	9.9453125	9.78125	9.7890625	9.84375	9.625
Tspyl1	8.640625	7.9921875	8.9453125	8.3125	8.703125	8	8.2421875	8.5234375	8.828125	8.6484375
Stip1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ciapin1	9.3203125	9.5	8.7265625	9.2578125	8.9921875	9.140625	9.296875	9.34375	8.8828125	9.359375
Impact	8.7890625	8.1484375	8.703125	8.296875	8.4375	8.2421875	8.1171875	8.328125	8.71875	8.3671875
LOC102642137///Gm15483///Rps13-ps4///Rps13	11.5234375	11.2890625	11.46875	11.8203125	11.8203125	11.8984375	11.703125	11.71875	11.515625	11.6875
LOC102642137///Gm15483///Rps13-ps4///Rps13	5.98828125	5.859375	5.90625	6.203125	6.2578125	6.01171875	5.91015625	6.046875	5.8203125	6.328125
Hnrnpab	10.6796875	10.3515625	10.578125	10.8203125	10.8203125	10.7265625	10.65625	10.8515625	10.4609375	10.9140625
Ddx1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mthfd1	9.1875	9.390625	8.6640625	8.6953125	8.5390625	8.59375	8.9765625	8.625	8.4375	8.9609375
Mthfd1	8.4609375	8.6796875	8.0390625	8.1640625	7.92578125	8.0703125	8.296875	8.078125	7.765625	8.2734375
