gene_symbol	GSM1164972	GSM1164975	GSM1164974	GSM1164976	GSM1164973	GSM1164977
1700021F05Rik	46.15625	45.96875	45.9375	44.625	46.5625	46.6875
1700021F07Rik	23.671875	23.484375	23.671875	24.171875	23.21875	23.09375
1700021P04Rik	21.03125	20.8125	21.25	21.484375	21.40625	21.203125
1700022A21Rik	27.84375	25.515625	26.28125	27.0	27.03125	27.859375
1700022I11Rik	20.65625	20.40625	21.15625	20.5625	21.015625	20.34375
1700023F06Rik	36.03125	36.5625	36.84375	37.8125	35.375	36.75
1700024B05Rik	20.716145833333332	21.018229166666668	20.6953125	20.484375	20.856770833333332	20.591145833333332
1700024G13Rik	22.90625	24.65625	23.8125	22.8125	23.171875	22.828125
1700024J04Rik	23.390625	24.90625	22.296875	24.078125	23.078125	21.546875
1700024P04Rik	21.78125	21.78125	21.71875	21.90625	21.71875	21.734375
1700024P16Rik	21.8125	22.0625	22.15625	21.765625	23.875	20.6875
1700025F22Rik	19.875	19.71875	19.703125	19.828125	20.34375	19.75
1700025G04Rik	143.25	194.3125	192.25	150.1875	171.09375	162.1875
1700025H01Rik	38.9375	37.1875	37.21875	43.5	42.8125	37.25
1700025O08Rik	20.734375	20.484375	20.828125	20.984375	21.21875	20.6875
1700027A07Rik	22.359375	23.6875	23.015625	23.46875	22.9375	22.171875
1700028I16Rik	28.34375	27.0625	28.109375	28.71875	28.59375	27.421875
1700028J19Rik	29.453125	32.78125	29.421875	36.25	32.46875	32.75
1700028N14Rik	33.0625	31.203125	33.34375	31.265625	33.09375	30.15625
1700028P14Rik	20.171875	20.390625	20.296875	20.28125	20.109375	19.921875
1700029F12Rik	21.3125	21.765625	20.828125	22.0	21.34375	20.96875
1700029H14Rik	23.140625	21.296875	21.546875	22.625	23.65625	22.28125
1700029I15Rik	28.765625	26.484375	26.5625	26.4375	28.796875	27.546875
1700029J07Rik	21.71875	22.015625	23.03125	22.125	22.171875	21.796875
1700029M20Rik	22.328125	21.546875	21.828125	22.953125	21.875	22.03125
1700029P11Rik	21.078125	21.15625	20.484375	21.59375	21.453125	21.625
1700030C10Rik	42.28125	42.59375	40.6875	51.09375	44.3125	38.71875
1700030C12Rik	20.84375	20.59375	20.484375	20.671875	20.65625	20.484375
1700030F18Rik	21.046875	20.484375	20.59375	20.796875	21.03125	21.109375
1700030J22Rik	27.53125	27.578125	25.765625	27.296875	27.71875	27.140625
1700030K09Rik	32.9375	27.359375	31.546875	28.328125	35.25	29.640625
1700031C06Rik	81.8125	88.0	88.8125	86.9375	86.0625	74.8125
1700031F05Rik	35.09375	29.09375	25.890625	28.8125	25.84375	26.109375
1700031F10Rik	21.1875	22.109375	21.328125	22.484375	23.3125	21.625
1700031M16Rik	20.953125	20.078125	20.703125	21.125	21.015625	21.125
1700034E13Rik	20.484375	20.171875	20.25	20.25	20.203125	20.578125
1700034H15Rik	23.3125	24.84375	26.140625	25.28125	23.25	24.015625
1700034I23Rik	20.75	21.515625	21.796875	22.203125	22.4375	20.515625
1700034J04Rik	21.96875	21.421875	21.84375	22.765625	20.71875	21.515625
1700034J05Rik	21.96875	21.8125	21.546875	21.921875	21.796875	21.546875
1700034O15Rik	20.8125	20.390625	20.609375	22.03125	20.921875	21.0
1700036A12Rik	24.765625	24.453125	24.515625	25.359375	25.171875	24.359375
1700037C18Rik	28.984375	28.5625	28.90625	30.53125	30.140625	27.890625
1700037H04Rik	50.84375	59.25	48.96875	70.8125	50.875	52.15625
1700038P13Rik	24.484375	25.703125	29.328125	27.703125	25.265625	27.96875
1700039E15Rik	21.1875	21.46875	22.421875	22.359375	22.125	22.171875
1700040F17Rik	20.5	20.484375	21.015625	20.9375	21.28125	20.484375
1700040L02Rik	27.0	27.15625	31.75	27.0625	29.703125	26.84375
1700041B01Rik	24.4375	25.8125	26.75	26.703125	27.3125	27.1875
1700041G16Rik	21.4375	21.28125	21.6875	21.59375	21.34375	21.1875
1700045I11Rik	33.21875	32.0	34.46875	39.40625	34.65625	32.09375
1700047G07Rik	26.3125	25.765625	25.234375	31.609375	27.78125	26.203125
1700047I17Rik2	234.79166666666666	183.75	240.29166666666666	198.54166666666666	231.0	204.83333333333334
1700048O20Rik	24.6875	24.34375	22.796875	23.078125	24.5	22.390625
1700049J03Rik	22.234375	23.0625	22.59375	22.984375	22.828125	22.25
1700049L16Rik	26.21875	27.21875	26.453125	26.65625	26.640625	26.84375
1700052K11Rik	46.40625	48.46875	52.3125	57.0	52.03125	47.0625
1700054O19Rik	45.34375	49.4375	45.84375	43.09375	41.15625	57.84375
1700055D18Rik	20.671875	22.203125	20.796875	20.765625	20.390625	20.828125
1700056E22Rik	22.609375	23.125	23.3125	24.796875	24.0	24.484375
1700057G04Rik	21.421875	21.125	20.953125	20.890625	21.203125	21.265625
1700061E17Rik	21.96875	20.78125	20.296875	21.828125	23.1875	21.421875
1700061G19Rik	20.96875	20.984375	20.921875	21.734375	20.828125	21.28125
1700061I17Rik	20.734375	20.140625	20.953125	21.078125	21.421875	20.53125
1700063H04Rik	20.8125	21.625	21.21875	21.234375	21.625	21.375
1700064E03Rik	24.828125	24.546875	25.78125	24.9375	24.90625	23.453125
1700065D16Rik	20.90625	20.671875	21.28125	20.6875	21.375	20.53125
1700066B19Rik	27.46875	25.859375	25.390625	28.140625	25.984375	27.296875
1700066M21Rik	59.5625	53.9375	56.96875	76.1875	52.3125	58.75
1700067K01Rik	22.09375	22.90625	22.421875	23.234375	22.21875	22.203125
