	GSM3580178	GSM3580179	GSM3580180	GSM3580181	GSM3580182	GSM3580183	GSM3580184	GSM3580185
Rgs16	1	11	8	0	1	4	0	1
Rgs17	2	2	9	0	3	5	1	0
Rgs18	3124	2295	1784	2642	2324	2538	1690	1706
Rgs19	2209	2034	1850	2657	1592	1536	1725	1820
Rgs2	1848	1817	1559	1718	689	715	374	659
Rgs20	1	6	7	8	0	2	0	1
Rgs21	0	0	0	0	0	0	0	0
Rgs22	0	5	1	0	0	1	0	0
Rgs3	221	284	358	442	236	271	201	231
Rgs4	1	3	1	0	2	1	1	1
Rgs5	0	0	5	1	1	1	0	0
Rgs6	0	2	4	0	0	3	5	0
Rgs7	1	2	2	1	0	0	0	0
Rgs7bp	67	102	58	100	67	48	54	50
Rgs8	14	19	26	27	18	25	5	37
Rgs9	20	24	21	43	8	20	18	18
Rgs9bp	5	11	8	14	2	15	3	2
Rgsl1	1	2	3	1	1	1	1	1
Rhag	30	37	326	44	42	21	2	10
Rhbdd1	339	280	231	336	234	305	323	247
Rhbdd2	1278	1117	988	1491	1046	975	1117	996
Rhbdd3	324	377	274	411	341	285	305	256
Rhbdf1	137	121	129	184	91	86	102	107
Rhbdf2	106	94	212	120	155	123	105	102
Rhbdl1	0	1	0	1	2	3	15	2
Rhbdl2	2	10	1	5	3	4	7	4
Rhbdl3	54	69	48	100	54	62	75	65
Rhbg	8	2	0	6	0	0	3	3
Rhcg	4	2	2	2	5	0	1	0
Rhd	9	5	304	21	15	18	0	6
Rheb	1020	838	774	1043	852	792	851	816
Rhebl1	389	330	286	449	311	254	319	314
Rhno1	609	627	535	637	545	523	588	601
Rho	0	0	0	0	0	0	0	0
Rhoa	4199	3683	3504	4694	3378	3533	3642	3526
Rhoay-ps1	0	0	0	0	0	0	0	0
Rhoay-ps2	0	0	0	0	0	0	0	0
Rhoay-ps3	0	0	0	0	0	0	0	1
Rhob	358	426	354	632	294	314	134	181
Rhobtb1	109	123	98	160	102	101	80	112
Rhobtb2	414	326	261	406	325	342	326	321
Rhobtb3	754	482	462	810	642	655	442	414
Rhoc	17	6	6	7	11	9	2	2
Rhod	70	83	32	75	51	41	63	60
Rhof	689	460	482	649	415	508	552	491
Rhog	1330	1306	1486	1539	1050	1118	973	1107
Rhoh	1036	1457	823	1616	1014	1188	816	1003
Rhoj	48	22	52	72	39	26	15	15
Rhoq	314	159	133	208	197	243	169	170
Rhot1	1195	1240	898	1194	1076	1088	1041	968
Rhot2	593	476	481	750	415	390	659	469
Rhou	0	2	17	1	1	1	2	0
Rhov	0	0	4	8	0	0	2	2
Rhox1	0	0	0	0	0	0	0	0
Rhox10	0	0	0	0	0	0	0	0
Rhox11	0	0	0	0	0	0	0	0
Rhox11-ps1	0	0	0	0	0	0	0	0
Rhox11-ps2	0	0	0	0	0	0	0	0
Rhox11-ps3	0	0	0	0	0	0	0	0
Rhox12	0	0	0	0	0	0	0	0
Rhox13	0	0	0	0	0	0	0	0
Rhox2-ps	0	0	0	0	0	0	0	0
Rhox2a	0	0	0	0	0	0	0	0
Rhox2b	0	0	0	0	0	0	0	0
Rhox2c	0	0	1	0	0	0	0	0
Rhox2d	0	0	0	0	0	0	0	0
Rhox2e	0	0	0	0	0	0	0	0
Rhox2f	0	0	0	0	0	0	0	0
Rhox2g	0	0	0	0	0	0	0	0
Rhox2h	0	0	0	0	0	0	0	0
Rhox3a	0	1	0	0	0	0	0	1
Rhox3a2	0	0	0	0	0	0	0	0
Rhox3b-ps	0	0	0	0	0	0	0	0
Rhox3c	0	0	0	0	0	0	0	0
Rhox3d-ps	0	0	0	0	0	0	0	0
Rhox3e	0	0	0	0	0	0	0	0
Rhox3f	0	0	0	0	0	0	0	0
Rhox3g	0	0	0	0	0	0	0	0
Rhox3h	0	0	0	0	0	0	0	0
Rhox4a	0	2	1	0	0	4	0	0
Rhox4a2	0	0	0	0	0	0	0	0
Rhox4b	3	8	0	0	4	0	2	0
Rhox4c	0	5	1	0	0	0	0	3
Rhox4d	0	2	0	5	0	0	0	4
Rhox4e	0	10	0	0	0	0	0	0
Rhox4f	5	0	4	3	1	1	1	0
Rhox4g	0	0	1	7	0	0	0	0
Rhox5	0	0	0	5	0	0	0	0
Rhox6	0	0	0	0	1	0	0	0
Rhox7-ps1	0	0	0	0	0	0	0	0
Rhox7-ps2	0	0	0	0	0	0	0	0
Rhox7a	0	0	0	0	0	0	0	0
Rhox7b	0	3	0	0	0	0	0	0
Rhox8	13	11	3	3	15	15	8	6
Rhox9	0	0	0	1	0	0	0	0
Rhpn1	2	2	2	0	8	4	1	12
Rhpn2	5	8	21	10	19	25	5	3
Rian	19	63	18	18	23	24	14	14
Ribc1	40	33	14	10	26	30	32	39
Ribc2	0	0	0	0	0	0	0	0
Ric1	118	169	157	162	162	163	129	108
Ric3	73	65	48	109	89	114	41	14
Ric8a	1847	1596	1454	2381	1228	1282	1407	1598
Ric8b	460	398	302	562	349	411	349	364
Rictor	1220	1195	816	1193	972	985	855	895
Rida	413	387	250	472	321	425	286	348
Rif1	1527	1442	872	1128	1663	1659	680	966
Riiad1	0	0	0	0	0	0	0	0
Rilp	9	9	7	10	1	9	5	17
Rilpl1	102	83	74	93	80	106	76	67
Rilpl2	424	404	372	636	394	378	349	360
Rimbp2	6	4	6	7	8	7	2	7
Rimbp3	10	1	4	0	0	3	7	5
Rimkla	0	1	1	0	0	4	0	0
Rimklb	2	14	2	1	0	0	1	0
Rims1	0	3	0	3	0	2	1	2
Rims2	17	9	4	2	1	6	0	0
Rims3	23	21	29	26	34	24	24	36
Rims4	1	0	1	0	0	0	3	0
Rin1	15	23	22	37	29	17	24	26
Rin2	140	86	142	142	77	86	56	74
Rin3	1015	959	963	1425	785	909	708	735
Ring1	111	126	146	151	124	124	124	127
Rinl	491	471	553	613	421	481	453	445
Rint1	402	328	287	390	308	310	330	272
Riok1	858	761	666	881	617	617	607	610
Riok2	623	598	338	589	546	458	570	446
Riok3	1244	1096	1050	1234	1040	946	993	951
Riox1	319	254	295	344	326	295	392	294
Riox2	1202	1234	894	1262	1132	963	1285	1127
Ripk1	1123	1073	1070	1531	1029	891	902	902
Ripk2	222	180	197	245	158	148	133	132
Ripk3	1461	1185	1063	1651	1243	1191	1560	1282
Ripk4	1	1	1	0	0	4	0	4
Ripor1	1864	1797	1366	2056	1744	1551	1469	1422
Ripor2	2097	2006	1715	2292	1864	1758	1470	1248
Ripor3	0	4	0	0	4	4	3	0
Ripply1	0	0	0	0	0	0	0	0
Ripply2	0	0	0	0	1	0	0	0
Ripply3	38	20	19	57	24	25	17	6
Rit1	382	358	349	611	286	352	268	312
Rit2	0	2	0	0	0	0	0	0
Rita1	45	47	37	40	50	42	32	39
Rlbp1	1	2	0	0	0	0	1	0
Rlf	559	517	482	585	458	415	345	434
Rlim	1542	1240	1139	1478	1609	1384	1195	1019
Rln1	0	0	0	0	0	0	0	0
Rln3	1	2	2	3	1	0	1	1
