	GSM2087154	GSM2087158	GSM2087156	GSM2087160	GSM2087159	GSM2087161	GSM2087155	GSM2087157
Gm2889	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm10568	NA	NA	NA	NA	NA	NA	NA	NA
Npas2	5	6.796875	4.59765625	6.03125	6.08203125	5.98828125	4.76171875	4.7578125
Rpl31-ps12///Rpl31///Clpb	5.40625	5.6796875	5.5078125	5.265625	5.6171875	5.01171875	5.36328125	5.3671875
NA	NA	NA	NA	NA	NA	NA	NA	NA
Cnot11	7.61328125	7.546875	7.52734375	7.6171875	7.5625	7.70703125	7.578125	7.57421875
Map4k4	8.296875	8.453125	8.515625	8.5703125	8.578125	8.5859375	8.3671875	8.5
Il1r2	4.01953125	3.99609375	3.978515625	3.95703125	3.970703125	4.25390625	4.0078125	4.08203125
Il1r1	7.37890625	7.921875	7.4609375	7.46875	7.93359375	7.6796875	7.58984375	7.3046875
Il1rl2	5.4609375	5.3984375	5.28125	5.546875	5.390625	5.578125	5.58984375	5.48046875
Il1rl1	4.97265625	5.04296875	4.60546875	5.01171875	5.0390625	4.87890625	5.10546875	4.82421875
Il18r1	4.30078125	4.75	4.640625	4.9921875	5.88671875	4.75390625	4.71875	4.41796875
Il18rap	4.015625	3.861328125	3.810546875	3.623046875	4.02734375	3.904296875	3.919921875	3.755859375
Slc9a4	5.0390625	4.91015625	4.875	5.05859375	5.171875	5.30078125	5.03515625	5.05078125
Slc9a2	4.46484375	4.71875	4.40625	4.5	4.671875	4.51171875	4.42578125	4.30859375
Tmem182	10.1796875	10.5390625	9.9296875	10.7890625	10.1640625	10.7265625	9.9609375	10.203125
NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm9915	NA	NA	NA	NA	NA	NA	NA	NA
Pou3f3	5.6875	5.515625	5.58984375	5.6171875	5.83203125	5.5	5.6015625	5.4609375
Mrps9	6.83984375	6.83984375	6.765625	6.56640625	6.53125	6.5625	6.7265625	6.92578125
Gpr45	4.29296875	4.28515625	4.2109375	4.3046875	4.625	4.28515625	4.265625	4.33203125
8430432A02Rik	NA	NA	NA	NA	NA	NA	NA	NA
AI597479	6.6015625	6.625	6.78125	6.6640625	6.52734375	6.71484375	6.7109375	6.71484375
LOC102640295///Gm8580///Gm13213///4931440P22Rik///Rpl29	NA	NA	NA	NA	NA	NA	NA	NA
NA	3.30859375	3.60546875	3.236328125	3.369140625	3.259765625	3.271484375	3.275390625	3.498046875
Nck2	6.40234375	6.44140625	6.39453125	6.8515625	6.50390625	6.15234375	6.4140625	6.38671875
1500015O10Rik	4.93359375	4.6796875	4.8125	4.6875	4.5078125	4.53515625	4.7890625	5.1640625
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Tpp2	7.40625	7.54296875	7.484375	7.50390625	7.51953125	7.48046875	7.54296875	7.49609375
Bivm	6.35546875	6.21484375	6.3125	6.07421875	6.2578125	6.03125	6.421875	6.41015625
Ercc5	7.12890625	7.03125	7.0078125	6.85546875	6.96875	6.88671875	7.06640625	7.015625
Gulp1	7.08203125	7.44921875	7.625	6.6484375	7.3046875	6.953125	7.95703125	7.83203125
Col3a1	8.921875	9.171875	8.953125	9.4375	9.1875	9.234375	9.015625	9.0390625
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Wdr75	7.0703125	7.31640625	7.109375	7.31640625	7.20703125	7.15625	7.22265625	7.19140625
NA	NA	NA	NA	NA	NA	NA	NA	NA
Rpl23a	5.578125	5.74609375	5.66796875	6.109375	5.33984375	6.00390625	5.796875	5.609375
Dnah7b	NA	NA	NA	NA	NA	NA	NA	NA
Dnah7b	5.21484375	4.86328125	4.95703125	4.76953125	4.55859375	4.8671875	4.8515625	4.765625
NA	NA	NA	NA	NA	NA	NA	NA	NA
Dnah7c	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA
Tmeff2	6.90625	7.28125	6.58203125	7.17578125	7.0703125	7.23828125	6.8359375	6.71484375
Sdpr	9.390625	9.484375	9.5703125	9.40625	9.609375	9.3125	9.3125	9.515625
Stat4	4.40234375	4.46875	4.2265625	4.453125	4.71875	4.46875	4.68359375	4.5625
Stat1	8.3515625	7.875	8.296875	7.87109375	8.3359375	7.80859375	8.546875	8.625
NA	NA	NA	NA	NA	NA	NA	NA	NA
Tmem194b	4.63671875	4.53125	4.5234375	4.609375	4.62890625	4.58984375	4.45703125	4.7421875
Hibch	8.7578125	8.9765625	8.8515625	8.4765625	8.6796875	8.40625	9.0234375	9.0390625
Mstn	3.6015625	3.98046875	3.833984375	3.939453125	3.67578125	4.1640625	3.669921875	3.81640625
Ormdl1	5.86328125	5.8125	5.671875	5.88671875	5.87890625	5.78515625	5.78125	5.8046875
Osgepl1	6.91796875	7.0078125	7.16015625	6.94140625	6.74609375	6.9375	6.890625	7.1328125
Ccdc150	3.712890625	3.42578125	3.376953125	3.62890625	3.193359375	3.41015625	3.560546875	3.74609375
Coq10b	7.7578125	7.9375	7.59765625	7.7890625	7.80078125	7.6875	7.80078125	7.7421875
Hspe1	8.1953125	8.1484375	8.0859375	8.2265625	8.078125	8.046875	8.2265625	8.0703125
Mob4	7.9140625	8.0859375	7.7890625	8.1015625	7.94140625	7.88671875	7.953125	7.953125
Gm10561	NA	NA	NA	NA	NA	NA	NA	NA
Mars2	6.26953125	6.21484375	6.24609375	6.16015625	6.0078125	5.9921875	6.1875	6.27734375
NA	NA	NA	NA	NA	NA	NA	NA	NA
Plcl1	6.20703125	5.82421875	6.53125	5.953125	5.73828125	5.7578125	6.33984375	6.5234375
1700066M21Rik	6.8046875	6.48046875	6.88671875	6.96875	6.6171875	6.87109375	6.68359375	6.90234375
9430016H08Rik	6.265625	6.15234375	6.3203125	6.30859375	6.140625	6.2734375	6.2109375	6.25390625
Spats2l	6.19921875	5.8203125	6.06640625	5.98828125	5.77734375	5.98046875	6.04296875	5.94140625
Sgol2a	4.921875	4.62109375	5.03125	4.78515625	4.4921875	4.93359375	4.9921875	4.57421875
Aox1	8.953125	8.9140625	9.265625	8.5859375	9.03125	8.8125	9.34375	9.328125
Aox3	5.7109375	5.39453125	5.60546875	5.33203125	5.58203125	5.35546875	5.80078125	5.6328125
Aox4	4.84375	4.8828125	4.83203125	4.6171875	4.68359375	4.74609375	4.50390625	4.75
Aox2	4.23828125	4.359375	4.20703125	4.2578125	4.4296875	4.42578125	4.1328125	4.1953125
Bzw1	9.71875	9.640625	9.75	9.8125	9.671875	9.765625	9.7421875	9.7421875
Nif3l1	7.41015625	7.42578125	7.37109375	7.69140625	7.56640625	7.6875	7.40234375	7.41796875
Ndufb3	7.21875	7.5859375	7.48828125	7.6171875	7.5625	7.796875	7.33203125	7.43359375
Cbx3	6.98828125	6.46875	6.83203125	6.48046875	6.15234375	6.3671875	6.7421875	6.7890625
Cflar	7.3046875	7.4765625	7.2109375	7.296875	7.49609375	7.296875	7.3828125	7.2734375
Cflar	7.0390625	7.08203125	7.14453125	7.00390625	7.05078125	6.9765625	6.97265625	7.04296875
Casp8	8.8125	8.9765625	8.953125	9.3359375	8.9921875	8.9921875	9.0546875	9.109375
Stradb	7.56640625	7.7734375	7.59765625	7.5859375	7.41796875	7.59375	7.578125	7.69140625
G730003C15Rik	6.07421875	5.953125	6.28125	6.015625	5.98046875	6.3359375	5.9296875	6.03125
Cdk15	4.41796875	4.27734375	4.53125	4.359375	4.0703125	4.47265625	4.51953125	4.375
Fzd7	6.73046875	6.765625	6.7421875	6.640625	6.6015625	6.7109375	6.74609375	6.75
Gm973	4.59765625	4.3359375	4.32421875	4.39453125	4.390625	4.16015625	4.3828125	4.2734375
Nop58	6.359375	6.1953125	6.37890625	6.56640625	6.234375	6.359375	6.2578125	6.39453125
Bmpr2	9.625	9.7578125	9.5625	9.796875	9.7109375	9.703125	9.734375	9.6796875
Fam117b	7.8046875	7.87890625	8.0234375	7.66796875	8.0234375	7.84765625	7.96875	7.8984375
Carf	5.38671875	5.33203125	5.5	5.5390625	5.34765625	5.546875	5.578125	5.57421875
Nbeal1	8.3203125	8.3046875	8.3515625	8.2265625	8.328125	8.1640625	8.453125	8.5078125
Nbeal1	8.609375	8.5703125	8.5	8.515625	8.578125	8.4296875	8.515625	8.484375
Cyp20a1	7.66796875	7.8828125	7.640625	8.0625	7.84765625	7.79296875	7.84765625	7.53125
NA	NA	NA	NA	NA	NA	NA	NA	NA
Abi2	7.32421875	7.328125	7.30859375	7.30078125	7.20703125	7.33984375	7.44140625	7.2421875
Eif4a1	11.9140625	11.828125	11.8203125	12.1640625	11.9140625	12.03125	11.9296875	11.859375
Cd28	4.6171875	4.34375	4.56640625	4.21484375	4.6015625	4.41796875	4.51171875	4.4453125
Ctla4	4.39453125	4.33203125	4.1171875	4.234375	4.16015625	4.07421875	4.13671875	4.3046875
Icos	4.75390625	4.875	4.9375	4.80078125	4.88671875	4.83203125	5.04296875	4.87890625
Rpl17///Hk1	7.65234375	7.28125	7.34765625	7.47265625	7.51953125	7.515625	7.45703125	7.6015625
Pard3b	6.296875	6.1953125	6.30859375	6.125	6.125	6.08203125	6.28125	6.375
Pard3b	5.9453125	5.80859375	5.90625	5.9140625	5.8828125	5.8359375	6.0078125	5.921875
NA	NA	NA	NA	NA	NA	NA	NA	NA
Nrp2	7.08984375	6.97265625	7.20703125	7.1171875	6.81640625	7	7.05859375	7.09765625
Eef1b2	9.21875	9.1171875	9.1953125	9.2421875	9.3125	9.2109375	9.203125	9.1484375
NA	NA	NA	NA	NA	NA	NA	NA	NA
Snora41	5.59765625	5.6796875	5.22265625	5.08984375	5.53515625	5.18359375	5.08203125	5.41015625
Zdbf2	3.8984375	3.953125	3.876953125	3.708984375	4.125	3.888671875	3.873046875	3.65234375
Adam23	7.1328125	7.48828125	7.1796875	7.421875	7.35546875	7.37109375	7.33203125	7.2421875
Fastkd2	5.12109375	5	5.14453125	5.20703125	5	5.11328125	5.23046875	5.17578125
NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm13749	3.05078125	3.125	3.228515625	3.158203125	3.19140625	3.17578125	3.01953125	3.224609375
NA	NA	NA	NA	NA	NA	NA	NA	NA
Creb1	7.671875	7.5625	7.5546875	7.46875	7.51953125	7.45703125	7.61328125	7.64453125
Ccnyl1	6.171875	6.43359375	6.4453125	6.4140625	6.3359375	6.296875	6.68359375	6.21484375
Pikfyve	7.64453125	7.40625	7.8203125	7.48046875	7.5	7.38671875	7.7734375	7.78125
Pth2r	3.7421875	3.83203125	3.935546875	3.720703125	3.65625	3.70703125	3.76171875	3.759765625
Crygf	4.0234375	4.02734375	4.0703125	4.10546875	3.931640625	4.27734375	4.07421875	4.1015625
A730034C02///Map2	4.15234375	4.078125	4.2890625	4.2109375	4.2109375	4.359375	4.34765625	4.2421875
NA	NA	NA	NA	NA	NA	NA	NA	NA
Unc80	4.6015625	4.4765625	4.6796875	4.46875	4.49609375	4.56640625	4.59375	4.59765625
Unc80	4.47265625	4.33984375	4.69921875	4.3046875	4.4453125	4.484375	4.43359375	4.5859375
Rpe	8.4765625	8.390625	8.5625	8.625	8.25	8.5859375	8.4375	8.3125
NA	NA	NA	NA	NA	NA	NA	NA	NA
Cps1	4.3203125	4.640625	4.484375	4.39453125	4.52734375	4.56640625	4.453125	4.38671875
NA	NA	NA	NA	NA	NA	NA	NA	NA
Spag16	3.248046875	3.06640625	3.228515625	3.07421875	3.162109375	3.15625	3.099609375	3.107421875
NA	NA	NA	NA	NA	NA	NA	NA	NA
Vwc2l	3.951171875	4.14453125	4.1796875	4.01953125	3.951171875	4.3671875	4.09375	3.95703125
