gene_symbol	GSM914321	GSM914309	GSM914320	GSM914313	GSM914305	GSM914311	GSM914306	GSM914308	GSM914310	GSM914315	GSM914317	GSM914312	GSM914307	GSM914314	GSM914316	GSM914318	GSM914322	GSM914319
1700018B08Rik	59.46875	96.75	56.90625	95.875	93.8125	95.5	86.625	88.5	95.125	58.3125	56.46875	96.875	94.625	97.0	60.03125	56.65625	58.65625	70.6875
1700018B24Rik	53.40625	77.6875	52.90625	78.3125	84.125	77.375	73.5	72.0	80.125	54.0625	51.46875	75.75	80.25	84.6875	54.53125	53.65625	54.65625	68.3125
1700018C11Rik	50.96875	86.1875	54.0	83.75	78.1875	89.4375	74.4375	76.625	83.9375	54.0625	51.71875	75.5625	88.1875	80.5	55.78125	57.90625	55.40625	65.5625
1700018F24Rik	53.53125	81.1875	52.0625	75.9375	77.125	72.375	64.875	70.0	68.3125	58.90625	48.53125	71.75	70.8125	70.1875	55.125	62.53125	53.40625	53.71875
1700018M17Rik	89.25	171.75	73.75	159.75	162.75	164.625	167.125	157.25	174.875	83.75	86.3125	160.875	155.375	167.125	83.8125	76.3125	84.625	77.875
1700019A02Rik	49.59375	58.5	50.0	57.96875	58.5625	63.25	57.3125	56.65625	57.90625	50.09375	46.96875	58.96875	57.84375	60.5	49.9375	52.15625	49.21875	49.15625
1700019B03Rik	55.0625	63.375	55.25	65.375	64.625	63.75	59.90625	57.53125	63.46875	52.25	53.59375	59.15625	61.0625	64.1875	54.8125	54.84375	54.84375	54.34375
1700019D03Rik	52.78125	62.84375	51.96875	71.1875	59.46875	73.8125	61.875	59.90625	69.9375	56.125	57.03125	70.3125	66.6875	73.3125	55.09375	61.9375	53.78125	60.125
1700019M22Rik	51.4375	62.59375	51.90625	62.90625	65.125	63.46875	59.1875	59.21875	61.75	51.15625	51.59375	62.625	61.15625	67.4375	50.875	52.5	51.5	54.6875
1700019N19Rik	50.78125	70.8125	55.53125	70.0	71.8125	69.875	70.5625	69.375	68.0625	55.84375	52.03125	70.0625	69.875	76.8125	53.09375	55.625	54.8125	68.625
1700019O17Rik	66.625	119.8125	65.6875	112.75	114.0	118.25	119.25	106.75	116.4375	69.4375	65.5	108.8125	113.4375	116.625	67.8125	62.53125	61.875	68.5
1700020A23Rik	57.21875	77.3125	55.5625	74.4375	74.3125	71.875	70.75	73.5625	71.875	59.25	57.34375	73.875	72.3125	81.1875	58.0	57.8125	55.46875	56.25
1700020D05Rik	56.9375	86.6875	57.84375	84.0	81.1875	93.125	89.25	86.625	96.6875	62.15625	58.03125	87.375	89.1875	87.25	58.03125	58.9375	58.1875	59.65625
1700020L24Rik	59.84375	109.75	64.6875	95.625	99.5625	100.75	96.9375	100.375	94.875	71.0	61.90625	98.6875	107.0	98.875	64.25	62.40625	65.5	71.1875
1700020N01Rik	60.96875	82.4375	58.25	78.25	80.125	82.25	78.25	81.625	79.6875	59.59375	58.5	69.5	77.9375	87.9375	57.5625	57.25	56.3125	67.625
1700021A07Rik	55.90625	87.1875	57.46875	85.0	81.25	87.8125	79.9375	78.375	86.4375	58.8125	56.6875	83.3125	83.0625	90.75	55.40625	56.875	58.0625	57.21875
1700021F05Rik	86.1875	337.75	87.8125	267.5	329.0	297.0	316.75	335.0	299.0	90.4375	90.0	278.25	378.25	277.25	87.5625	86.75	85.75	85.25
1700021F07Rik	60.25	80.9375	57.28125	76.8125	81.0	80.9375	74.625	77.5	79.3125	62.6875	53.71875	78.125	82.125	80.125	58.15625	55.65625	55.96875	58.96875
1700021P04Rik	53.25	66.0	50.5625	64.0625	60.5625	64.0	63.34375	67.25	64.8125	54.125	50.15625	63.6875	65.25	73.375	54.15625	52.0	51.5	50.28125
1700022A21Rik	63.3125	144.5	63.5625	123.5625	113.5	123.4375	131.25	121.625	125.625	66.6875	62.5	133.625	121.6875	127.75	62.125	63.9375	63.71875	73.8125
1700022I11Rik	51.5	66.6875	51.125	64.75	62.15625	66.125	59.3125	62.125	62.1875	53.8125	50.15625	62.3125	61.8125	64.0	49.65625	51.90625	49.625	50.53125
1700023F06Rik	68.1875	135.25	71.125	126.375	120.6875	128.875	124.125	129.625	132.0	68.1875	70.5	125.5	125.4375	137.5	68.8125	68.125	67.625	83.375
1700024B05Rik	50.609375	73.08854166666667	51.28125	68.265625	69.32291666666667	67.35416666666667	70.17708333333333	70.77083333333333	75.85416666666667	52.848958333333336	48.567708333333336	80.71354166666667	65.5	72.34895833333333	52.026041666666664	53.213541666666664	51.479166666666664	53.901041666666664
1700024G13Rik	57.28125	77.125	55.9375	82.0	78.6875	81.5625	82.0625	79.1875	78.8125	59.15625	54.0625	76.25	80.5	82.6875	56.15625	56.90625	56.9375	53.6875
1700024J04Rik	55.09375	76.4375	56.4375	73.0625	72.0	73.25	72.875	70.5	69.25	58.09375	53.28125	72.3125	72.8125	69.5625	54.6875	53.78125	56.65625	61.15625
1700024P04Rik	55.09375	69.625	52.4375	66.9375	70.3125	71.875	71.5625	69.0625	70.0625	55.8125	54.84375	69.1875	67.75	69.0625	54.875	53.0	55.625	61.15625
1700024P16Rik	68.3125	65.25	59.1875	58.40625	64.9375	61.90625	61.1875	56.59375	61.4375	69.1875	63.15625	59.96875	63.4375	65.625	61.5625	59.875	60.625	73.8125
1700025F22Rik	49.625	52.78125	55.375	53.96875	54.75	54.21875	52.28125	52.8125	57.0	50.1875	47.21875	53.53125	52.78125	55.25	51.0	50.875	49.6875	51.375
