	GSM4708547	GSM4708548	GSM4708549	GSM4708550	GSM4708551	GSM4708552
Aldh16a1	287	285	253	327	549	450
Aldh18a1	1147	1085	1144	1550	1720	1638
Aldh1a1	51	85	37	97	295	225
Aldh1a2	3	14	3	13	217	112
Aldh1a3	105	58	51	2252	1645	2091
Aldh1a7	2	3	1	10	38	26
Aldh1b1	59	61	32	155	786	429
Aldh1l1	7	11	24	16	251	93
Aldh1l2	371	275	278	234	240	215
Aldh2	1244	1351	1263	1492	1566	1460
Aldh3a1	0	0	0	0	0	5
Aldh3a2	964	1073	1035	1445	1331	1398
Aldh3b1	118	68	108	218	216	205
Aldh3b2	0	0	0	0	0	2
Aldh3b3	3	0	1	4	2	1
Aldh4a1	460	464	384	536	575	565
Aldh5a1	577	873	737	897	855	908
Aldh6a1	616	485	551	1068	1041	1085
Aldh7a1	606	660	594	699	688	665
Aldh8a1	36	29	53	58	65	51
Aldh9a1	941	808	856	1235	1285	1340
Aldoa	5728	5108	5086	7131	5909	6151
Aldoart1	0	0	0	3	0	1
Aldoart2	2	1	0	0	1	0
Aldob	34	4	22	208	2786	1458
Aldoc	190	142	180	240	197	221
Alg1	654	678	753	857	730	744
Alg10b	348	296	333	595	654	619
Alg11	426	362	411	554	542	598
Alg12	333	416	400	368	448	372
Alg13	125	110	130	157	154	162
Alg14	169	178	136	187	214	160
Alg2	1424	1220	1369	2058	1784	1956
Alg3	209	283	218	337	345	291
Alg5	487	412	459	644	704	623
Alg6	336	288	350	394	479	441
Alg8	192	261	148	303	282	300
Alg9	208	204	246	448	394	386
Alk	5	12	13	18	8	4
Alkbh1	516	516	434	654	557	659
Alkbh2	127	114	125	138	135	116
Alkbh3	468	374	357	524	464	469
Alkbh4	109	86	107	206	179	166
Alkbh5	1428	1318	1543	2795	2374	2675
Alkbh6	731	746	741	804	735	658
Alkbh7	149	194	160	143	150	178
Alkbh8	151	165	112	295	263	294
Allc	0	0	0	0	0	0
Alms1	407	330	296	626	685	699
Alms1-ps1	0	23	0	4	5	0
Alms1-ps2	12	7	9	3	3	0
Alox12	265	242	344	213	210	209
Alox12b	3	0	7	7	6	5
Alox12e	0	0	0	1	10	1
Alox15	0	0	0	3	3	4
Alox5	7	6	5	3	4	2
Alox5ap	90	65	83	96	85	112
Alox8	50	57	47	45	43	62
Aloxe3	57	71	27	40	34	22
Alpi	0	2	0	398	3545	1788
Alpk1	116	111	62	77	92	107
Alpk2	5	6	7	5	10	20
Alpk3	8	6	5	15	13	12
Alpl	109	170	132	139	93	86
Alppl2	0	0	0	0	10	2
Als2	497	485	523	711	681	719
Als2cl	476	608	613	456	673	645
Als2cr11	1	0	0	0	3	4
Als2cr11b	0	0	2	6	5	2
Als2cr12	0	0	3	2	24	5
Alx1	0	0	0	0	0	0
Alx3	0	0	0	0	0	0
Alx4	7	22	19	20	10	15
Alyref	337	368	404	605	620	475
Alyref2	83	113	89	291	203	227
Amacr	117	126	143	264	254	220
Ambn	0	0	0	0	0	0
Ambp	716	788	824	1260	1125	1221
Ambra1	1229	1276	1269	1358	1467	1414
Amd-ps1	0	0	0	0	0	0
Amd-ps3	8	7	2	11	12	5
Amd-ps4	0	1	0	1	0	0
Amd-ps5	0	0	0	0	0	0
Amd1	1448	1303	1458	2046	1909	1844
Amd2	5	0	3	20	13	14
Amdhd1	0	6	3	0	5	3
Amdhd2	324	279	229	327	344	259
Amelx	0	0	1	1	1	0
Amer1	224	226	244	319	285	352
Amer2	130	78	139	167	170	159
Amer3	61	66	50	184	138	161
Amfr	2102	2149	2249	3369	2658	2860
Amh	9	11	7	6	11	14
Amhr2	7	1	0	5	9	8
Amica1	2	5	9	48	104	80
Amigo1	1101	908	1136	1493	1262	1326
Amigo2	1031	690	897	5618	2427	3848
Amigo3	232	296	255	525	549	577
Ammecr1	62	60	61	73	89	109
Ammecr1l	541	495	478	911	808	891
Amn	6	18	7	36	78	41
Amn1	365	295	343	425	456	485
Amot	39	54	41	66	70	83
Amotl1	1152	1274	1204	1340	1366	1539
Amotl2	454	669	593	683	653	749
Ampd1	1	0	4	6	3	1
Ampd2	3206	3324	3313	2969	3252	3249
Ampd3	72	79	72	106	88	92
Amph	380	484	431	738	486	622
Amt	343	419	308	489	451	512
Amtn	0	0	0	0	0	0
Amy1	94	91	160	233	207	127
Amy2-ps1	0	0	0	0	0	0
Amy2a1	2596	7301	4353	1975	1052	1894
Amy2a2	3374	7991	4952	2528	1104	1544
Amy2a3	3374	7991	4952	2528	1104	1544
Amy2a4	3374	7991	4952	2528	1104	1544
Amy2a5	901	7699	2791	3833	1793	3653
Amy2b	2	18	20	13	0	3
Amz1	73	49	72	58	113	102
Amz2	775	837	883	1188	1026	1170
Anapc1	1594	1384	1525	1808	2062	2055
Anapc10	295	230	309	325	336	356
Anapc11	563	540	492	655	603	636
Anapc13	763	712	673	665	586	548
Anapc15	156	180	163	242	188	236
Anapc15-ps	0	0	0	0	0	0
Anapc16	764	727	761	1077	717	946
Anapc2	1145	1230	1142	1527	1391	1481
Anapc4	1292	1299	1162	1440	1260	1308
Anapc5	5324	5084	5184	4396	4165	4438
Anapc7	462	544	525	699	682	705
Ang	537	358	491	964	700	803
Ang-ps1	0	0	0	0	0	0
Ang-ps2	0	0	0	0	0	0
Ang-ps3	0	0	0	0	0	0
Ang2	0	0	0	0	0	0
Ang4	0	0	0	0	1	0
Ang5	0	0	0	0	0	0
Ang6	0	0	0	0	0	0
Angel1	384	326	383	515	494	472
Angel2	963	809	944	1500	1240	1488
Angpt1	15	60	36	48	41	36
Angpt2	186	201	223	240	259	274
Angpt4	3	1	4	5	5	5
Angptl1	16	24	9	25	19	18
Angptl2	279	151	205	258	181	246
Angptl3	9	3	0	7	8	11
Angptl4	11	3	7	37	42	49
Angptl6	141	128	128	101	120	87
