gene_symbol	GSM3526024	GSM3526021	GSM3526026	GSM3526022	GSM3526025	GSM3526027	GSM3526020	GSM3526023
ACBD3	10.08984375	10.5859375	10.24609375	9.49609375	9.67578125	9.72265625	9.51171875	10.07421875
ACBD4	6.640625	6.69921875	6.94921875	6.859375	6.76171875	6.7734375	6.73046875	6.7578125
ACBD5	8.45703125	8.4921875	8.5546875	7.9921875	8.248046875	8.49609375	7.884765625	8.365234375
ACBD6	9.765625	10.0	9.9296875	9.7421875	9.984375	10.2109375	9.7421875	10.0546875
ACCS	7.41015625	8.0703125	7.85546875	7.6328125	7.41015625	7.7265625	7.75390625	8.4453125
ACD	8.71875	8.296875	8.453125	9.21875	8.6640625	8.6484375	9.265625	8.59375
ACE	5.796875	5.724609375	5.703125	5.892578125	5.791015625	5.7890625	6.060546875	5.7890625
ACE2	4.052734375	4.0185546875	3.8896484375	4.0439453125	4.1435546875	4.08984375	4.0634765625	4.015625
ACER1	5.65625	5.46484375	5.703125	5.7734375	5.82421875	5.90234375	5.640625	5.6328125
ACER2	5.20703125	5.56640625	4.98828125	4.9140625	6.078125	6.41796875	4.97265625	5.44140625
ACER3	6.231770833333333	6.514973958333333	6.373697916666667	6.078125	5.9775390625	6.185546875	6.244140625	6.445963541666667
ACHE	5.51171875	5.41796875	5.69921875	5.735677083333333	5.765625	5.822916666666667	5.813802083333333	5.458333333333333
ACIN1	8.4140625	8.65625	8.5703125	8.546875	8.296875	8.546875	8.2890625	8.640625
ACKR1	6.1484375	5.83984375	6.25390625	6.20703125	6.33203125	6.17578125	6.25390625	6.09375
ACKR2	5.743489583333333	5.682291666666667	5.640625	5.889322916666667	5.846354166666667	5.770833333333333	5.755208333333333	5.680989583333333
ACKR3	6.822916666666667	7.536458333333333	6.779947916666667	6.897135416666667	6.7734375	7.260416666666667	7.583333333333333	7.4453125
ACKR4	8.4921875	7.578125	7.22265625	6.8125	9.0234375	8.34375	7.8203125	7.54296875
ACLY	10.216145833333334	10.401041666666666	10.6328125	11.1015625	10.432291666666666	9.927083333333334	10.8984375	10.9609375
ACMSD	3.6171875	3.666015625	3.529296875	3.609375	3.611328125	3.5390625	3.876953125	3.4609375
ACO1	7.67578125	7.74609375	7.55859375	7.51171875	7.70703125	7.740234375	7.650390625	7.681640625
ACO2	8.15625	8.171875	8.197265625	8.509765625	8.125	8.271484375	8.20703125	8.1484375
ACOD1	4.625	4.61328125	4.56640625	4.79296875	4.9296875	4.76953125	4.7578125	4.48046875
ACOT1	9.2578125	9.1328125	9.046875	9.5703125	9.3828125	9.40625	9.9453125	9.734375
ACOT11	6.1240234375	5.9990234375	6.0693359375	6.3515625	6.3056640625	6.2294921875	6.412109375	6.1025390625
ACOT12	3.640625	3.453125	3.759765625	3.66796875	3.54296875	3.7890625	3.619140625	3.36328125
ACOT13	10.3125	10.8515625	10.7578125	9.78125	9.8125	10.1484375	10.3984375	10.625
ACOT4	6.4140625	5.69140625	5.88671875	6.265625	5.3671875	5.51171875	6.5078125	5.85546875
