gene_symbol GSM2310360	GSM2310361	GSM2310362	GSM2310363	GSM2310364	GSM2310365	GSM2310366	GSM2310367
DOCK10	2350.1978	3943.156	2398.392	3445.2065	2160.3184	3746.4644	2508.9277	2615.8647
DOCK11	113.57142	364.4574	108.7976	305.64023	99.05936	358.10022	119.854	275.18546
DOCK3	521.14545	790.4271	493.40958	478.23663	542.9422	509.944	861.3284	547.02423
DOCK4	615.15485	911.7074	616.1943	762.4758	611.6612	915.99457	667.77655	712.8026
DOCK5	576.47144	578.5505	614.8129	530.9784	573.15356	573.7028	706.68567	589.71094
DOCK6	329.05316	312.9922	378.8498	253.1033	333.6544	263.40897	414.90112	310.64117
DOCK7	3723.7542	4631.2197	3638.0266	3903.2908	3219.9604	4220.5347	3617.9917	3541.383
DOCK8	163.27014	123.7649	204.09245	111.783325	164.876	113.70509	206.55402	110.68571
DOCK9	444.28937	569.82385	489.54413	463.53394	437.2938	510.32202	486.2866	486.23517
DOHH	1770.3966	2293.6738	1844.9319	1982.6505	1699.5083	2107.9934	2268.1775	2341.5046
DOK1	1750.1003	3936.8115	2024.9589	3122.9094	1884.7687	3530.2646	2249.2883	3589.254
DOK3	929.16736	1023.77325	1009.633	975.9098	737.4057	793.911	1000.01904	778.99005
DOK4	252.3707	291.67734	284.58292	245.59167	253.0077	277.3224	297.3717	266.43063
DOK6	20.384323	28.194304	22.491348	19.824291	23.81248	21.224596	22.056915	18.818668
DOK7	548.67346	697.77405	592.352	554.408	524.83075	610.49097	563.99994	442.58102
DOLK	2914.975	3714.3926	3168.0854	3210.9546	2998.7314	3478.0222	3739.4153	3490.7664
DOLPP1	2870.1147	3270.771	2998.3806	2800.7068	2784.6719	2931.1577	3513.637	3172.698
DONSON	1869.3827	2364.037	1830.983	2017.026	1740.5073	2272.1003	2245.7065	2192.407
DOP1A	236.15796	613.66144	484.02817	310.658	215.48196	307.15015	227.42928	269.34097
DOP1B	301.64355	324.3807	370.9988	348.66086	305.26566	365.87	362.78348	377.6691
DOT1L	817.8695	859.7516	663.36414	746.6467	640.7907	750.3834	936.8285	847.6537
DPAGT1	3811.4465	5982.179	4467.434	5199.0156	3958.1855	5571.866	4221.8545	5398.733
DPCD	22100.295	17600.686	21319.283	14440.432	20278.307	15957.209	24500.207	14112.585
DPEP1	20.579369	25.736591	20.51058	18.475176	23.06659	19.538025	20.267107	17.216307
DPEP3	5506.7695	5488.403	5658.166	5534.2046	4779.939	4889.193	4799.6167	4807.279
DPF1	956.77423	1075.2416	909.56616	956.6636	960.3658	1045.0885	1070.129	947.32733
DPF2	24368.666	26381.635	25272.36	22644.277	24145.605	24730.629	25546.342	23988.44
DPF3	85.52455	89.914825	112.01818	103.156105	141.4883	153.54015	149.92369	134.64111
DPH2	9731.873	9623.415	10160.879	8330.427	9016.51	8852.334	11806.706	9562.975
DPH3	15985.261	19479.875	15982.841	16224.92	14340.701	18659.38	19879.076	16981.203
DPH3P1	6048.292	7507.3413	6236.0537	6283.5615	5458.838	7128.3936	6982.027	6322.7065
DPH5	2106.1423	2278.0513	2147.9998	2051.2083	2118.9087	2197.8516	2687.727	1874.0038
DPH6	31.897667	91.35468	53.651028	80.757515	60.993393	91.31565	52.11248	92.149025
DPH7	233.18839	174.33752	251.72433	193.61186	250.67049	188.91339	288.91254	199.30855
DPM1	10988.029	12548.246	11561.59	9814.846	10175.485	11128.465	13674.194	11024.705
DPM2	2777.4397	3505.362	3279.7104	3093.921	3009.9502	3230.499	3732.698	3387.8076
DPM3	14860.222	12876.888	15908.108	11141.685	14632.265	11982.594	18593.15	12315.92
DPP10	19.880322	26.590036	21.275679	18.725082	22.60521	20.053919	20.816406	17.619947
DPP3	11706.393	12546.703	11787.109	10907.52	11283.101	11475.8	12315.317	11010.38
DPP6	21.994366	25.64163	19.992413	18.506956	21.328491	26.1201	31.599924	21.58246
DPP7	5434.1074	10053.001	6377.6206	8541.282	5589.3447	9278.839	6640.6304	9325.8
DPP8	8064.5527	12966.55	8194.557	10646.902	7412.2886	11960.31	9324.265	10013.658
DPP9	8668.695	10320.486	8726.391	8340.268	8117.803	9298.678	10135.843	8670.816
DPP9-AS1	5128.539	7822.585	4938.3213	7772.4224	4548.48	6173.1133	4490.1245	7809.4824
DPRXP4	146.56714	222.24567	176.88036	186.87299	143.01869	168.0838	175.3491	197.27475
DPT	244.19205	296.3211	232.52159	249.75633	291.74658	346.03345	305.48328	295.30585
DPY19L1	2656.1626	8592.01	2779.4968	6927.7495	2530.931	7850.1846	3002.7402	7043.5513
DPY19L1P1	372.1493	709.9961	395.89053	606.14606	300.31015	706.79126	420.04062	711.00916
DPY19L2	36.849636	77.77953	38.204964	81.50593	34.863403	66.68963	31.651854	63.86111
DPY19L2P2	58.955173	110.548164	57.90154	109.60108	54.72078	102.958984	62.44517	113.95069
DPY19L2P3	349.15073	788.10333	372.51257	723.005	360.60226	663.51807	409.71106	691.8679
DPY19L3	74.62964	72.0047	79.16866	66.39147	89.068115	86.44657	102.06974	77.9003
DPY19L3-DT	666.41705	1289.8809	698.073	1057.7189	682.7996	1182.4359	811.3651	1116.2423
DPY19L4	1954.6937	2777.203	1963.9023	2290.4724	1855.4525	2565.3005	2134.5344	2170.4067
DPY30	22073.926	29096.018	23656.502	25254.809	22353.344	27478.934	24771.893	23405.11
DPYD	146.65431	52.47423	178.7893	48.41341	158.92938	66.69203	136.69997	40.83424
DPYSL2	2420.2896	2778.4294	2895.5706	2204.8728	2772.5586	2532.3264	3015.2732	2240.6396
DPYSL3	414.5305	697.00006	430.76755	616.84186	391.249	634.1866	447.8262	460.75455
DPYSL4	3155.814	4060.8901	3754.713	4216.4185	3486.9888	4116.132	3842.888	4048.3118
DPYSL5	196.50575	367.76666	203.53972	298.57047	216.71762	318.30127	231.7849	263.05243
DQX1	24.91865	71.56205	65.203255	54.40921	33.474743	56.979885	25.742453	25.893038
DR1	5684.585	4527.404	5509.311	3815.3992	5616.5522	4604.607	7156.372	4507.921
DRAIC	51.28594	49.68582	52.27984	66.44752	43.0114	60.555878	65.344376	59.765255
DRAM1	3307.8237	7717.641	3369.291	6721.3916	3095.1174	7181.816	3757.2554	6617.922
DRAM2	1213.9818	2049.0889	1247.605	1697.9901	1099.499	1858.4907	1312.4714	1653.4341
DRAP1	264971.25	235447.69	280277.53	210655.28	279399.22	216880.31	315129	218221.19
DRAXIN	43.544468	54.919163	33.691444	39.296776	44.384453	37.437405	35.02555	41.554688
DRD1	188.2418	544.7386	208.6919	492.4581	176.78258	500.0558	173.28656	404.02542
DRD2	2258.7573	1431.7808	2638.8682	1161.4299	2447.253	1223.3038	3167.7378	1115.8793
DRD4	552.925	669.5446	651.7195	535.18164	556.7581	537.1348	692.5181	660.03986
DRG1	11393.064	10590.082	11025.82	9100.088	10505.7705	9965.07	13356.979	9756.459
DRG2	3640.6104	4538.8716	4093.0605	3901.2607	3711.8938	4007.3755	4597.402	4362.192
DRGX	101.08391	95.82776	146.86853	75.970345	140.7265	111.72688	149.49553	55.93866
DRICH1	2476.8865	2192.7854	2239.5127	2013.9431	2142.3218	2118.5024	3223.3296	2771.2263
DROSHA	17795.625	21142.703	19489.303	17995.592	16816.258	19861.068	22446.57	17986.09
DRP2	1615.0797	2232.4138	1724.5209	1916.678	1799.1632	1914.5607	2145.2554	1956.1764
DSC1	19.968262	25.681664	20.649689	18.118137	22.15627	19.57223	20.33405	17.079163
DSC2	65.19169	129.59889	107.24313	215.8458	147.78358	188.58711	100.16972	157.25917
DSCAML1	20.04512	26.766981	21.45991	67.86865	22.786404	20.221567	20.95818	17.856508
DSCC1	1252.5896	1744.5527	1331.7745	1513.515	1245.1432	1600.2812	1501.3324	1526.3807
DSCR10	351.0626	393.19327	355.48883	380.77298	368.55444	380.84045	425.34976	414.3141
DSCR8	20.220985	27.292099	21.852669	19.191517	23.19332	20.60344	21.36583	18.209871
DSCR9	378.78043	279.34998	348.31165	266.98935	357.20844	279.79608	303.52856	226.48912
DSE	572.6855	654.476	579.06165	510.74655	553.4073	612.44446	724.3019	552.06964
DSEL	884.7245	1549.0018	778.54785	1598.4395	675.4177	1476.0872	1013.6889	1550.1644
DSG2	205.2351	309.64664	227.79037	278.5276	202.78423	297.74426	256.09613	279.84827
DSG3	20.45406	29.399708	22.988075	20.50597	24.465641	21.69294	23.113342	34.551224
DSG4	19.920088	26.743263	21.333807	18.83145	22.75244	20.16527	21.02423	17.655083
DSN1	4410.212	6038.96	4893.933	5120.663	4169.034	5565.6045	5718.1274	6061.5366
DSP	10981.995	17757.787	12194.461	14843.513	10255.18	16646.63	12081.872	11118.509
DSPP	20.03223	27.815502	22.185991	19.538633	23.367401	20.875889	21.682962	18.475536
DST	1863.7107	3356.6262	1946.1611	3090.1047	1687.9427	2973.6304	1935.3462	2975.7148
DSTN	140008.58	186724.47	145720.42	154245.92	136498.81	179685.97	166478.3	160468.78
DSTNP2	1002.0439	1093.4274	844.40106	962.792	935.69965	1021.273	931.73706	969.5286
DSTYK	1279.6268	2074.8074	1511.0679	1820.4159	1244.9875	1726.5101	1506.0787	1826.1674
DTD1	9362.218	15212.454	9912.145	11777.241	9568.95	13733.71	11507.812	12165.291
DTD2	1010.04553	1258.9873	927.75574	1083.6722	805.93146	1177.4167	992.51074	1121.4987
DTL	4084.1497	8406.578	4434.261	7078.7505	3924.7654	7753.5327	7275.279	9494.506
DTNA	884.57654	1173.4052	879.52893	1117.7981	995.27997	1234.7656	989.8251	1167.5219
DTNB	117.25639	143.29085	101.4012	183.8995	110.423386	159.45786	170.8936	174.22404
DTNBP1	4940.4893	5446.4463	5326.1616	4749.711	4845.583	5004.632	5512.247	4831.791
DTWD1	2137.9348	2105.971	2268.5315	1690.1133	2013.3068	1942.6188	2734.8552	1777.4042
DTWD2	282.85782	265.8898	267.7166	246.37738	218.33571	246.16217	273.3843	207.12651
DTX2	579.67596	483.6306	632.5349	449.63293	554.78485	432.4709	566.6779	427.35727
DTX2P1-UPK3BP1-PMS2P11	2013.6462	2758.0354	2047.1785	2454.477	1867.1732	2382.228	2305.392	2586.3682
DTX3L	393.25046	571.75494	484.23267	535.6279	382.68442	552.1872	442.50146	540.78516
DTYMK	80464.16	97680.36	77611.88	79482.984	72240.97	92409.79	88828.8	82689.95
DUOX1	19.807676	27.985022	22.1983	19.623434	23.402437	20.905025	21.83594	18.483366
DUOX2	19.396563	25.969498	20.790134	18.489347	22.500002	19.99514	20.961817	17.956547
DUOXA1	398.316	404.55298	361.5587	452.03647	377.19952	427.32617	362.38586	295.39313
DUS1L	24085.06	30403.719	23428.004	27080.773	23492.982	29323.92	28590.068	30126.254
DUS2	728.176	764.6184	463.4163	522.5784	434.7821	525.0976	476.04202	579.2531
DUS3L	5777.8267	5221.078	6007.855	4401.69	5327.725	4766.444	6686.0425	4599.247
DUS4L	343.25336	355.90195	326.40366	315.79636	308.0564	323.853	357.56775	322.80804
DUSP1	4724.475	3538.3506	6217.589	4515.3174	4933.8574	3205.822	7927.798	4820.2646
DUSP10	75.6397	214.49988	80.977806	219.86298	91.33901	232.63528	141.02203	297.86612
DUSP11	1026.1141	1041.0315	957.52905	906.3959	921.5085	981.4781	989.3142	1012.6769
DUSP12	11337.702	14162.265	11179.731	11494.1045	10134.544	13122.129	14239.184	13119.666
DUSP13	21.6077	31.877851	24.628685	31.884258	23.971087	46.24279	32.056877	42.7628
DUSP14	6789.46	5695.011	7337.3164	7256.0244	6847.9253	7949.0767	9326.397	8904.744
DUSP15	4599.0464	4291.6143	4952.7383	4799.9434	4315.9697	4484.8296	4262.3467	4456.3975
DUSP16	45.77193	43.91685	52.994976	32.23054	46.445686	40.8953	71.91912	191.65875
DUSP18	351.41226	325.05664	343.35208	321.92987	293.4403	284.5325	382.16544	304.95648
DUSP19	88.04484	117.7583	74.855484	117.73658	79.5461	114.72801	87.2377	96.267654
DUSP2	123.2534	168.14552	128.03279	157.98009	113.36219	159.46507	147.40395	171.2617
DUSP22	2010.8064	3431.356	2422.215	2940.265	2003.0481	3091.625	2565.7192	3235.8186
DUSP23	26693.127	28717.58	27752.227	23368.887	26387.635	25836.39	30952.77	23962.717
DUSP28	3113.3804	5218.1763	3569.832	4093.0742	3228.219	4550.826	4063.5513	4093.5232
DUSP3	1388.5592	2157.8523	1460.5632	1891.4985	1348.4454	1967.1505	1883.2456	2224.2297
DUSP4	475.67462	584.2431	477.8713	510.40466	500.81168	571.08185	535.83435	575.66986
DUSP5	2135.5505	2619.185	2291.3552	2417.9995	2231.4636	2508.3674	4569.9805	3626.631
DUSP5P1	526.3045	968.50635	535.09143	865.1991	497.43872	848.1604	730.60315	1077.7194
DUSP6	3501.4297	5055.5347	3846.8555	5614.8486	3033.081	4599.4204	3522.1924	3658.1677
DUSP8	8398.68	11294.413	8176.9	10077.886	8554.923	10070.899	11237.613	10984.551
DUSP9	240.38635	248.1732	282.17468	214.37619	287.75046	271.16745	325.3051	232.45335
DUT	83811.15	94422.19	82755.79	81691.79	77903.12	87547.59	92037.67	82114.305
DUX4L1	108265.54	102699.21	111046.555	115828.78	102285.66	106148.22	103444.734	102093.54
DUX4L4	99158.6	87988.18	95702.47	100231.34	90472.33	93735	87970.734	85793.02
DVL1	111706.81	120237.26	117528.21	103416.56	106186.54	115341.62	129116.98	110293.484
DVL2	5799.4043	8872.346	5989.899	7229.395	5390.5986	7982.767	6457.219	8171.14
DVL3	1063.9762	1521.6609	1151.1122	1477.862	1108.0576	1449.8424	1185.7249	1604.5479
DXO	3151.0093	2879.6738	3103.1873	2550.5862	3111.0474	2669.7312	3516.0325	3107.2803
DYM	7142.3877	6842.5815	6880.75	5541.2803	6336.313	6369.9185	7826.6816	5118.998
DYNAP	19.753412	27.303549	21.706215	19.330029	23.386314	20.779726	21.827238	18.65889
DYNC1H1	35986.78	50841.246	39744.75	44053.08	34248.883	46297.105	40930.902	42386.492
DYNC1I1	19.65886	27.049843	21.293562	19.188211	22.806454	20.22378	21.232069	18.21877
DYNC1I2	17206.117	23822.97	16320.408	18734.537	15934.42	22666.652	19552.867	20086.367
DYNC1LI1	819.7011	965.2799	963.25354	850.35486	784.5158	893.23535	936.40875	907.41565
DYNC1LI2	767.93726	732.75256	742.38617	670.671	697.5813	661.52454	890.365	687.0778
DYNC2H1	698.9679	1571.7275	823.9521	1325.445	706.5325	1402.2969	820.9152	1201.6465
DYNC2I1	757.2029	1328.6003	761.67737	1159.897	705.8033	1186.7239	839.75256	1178.4438
DYNC2I2	11361.537	19600.012	12426.591	17169.01	11930.635	18627.363	14005.737	16922.137
DYNC2LI1	249.80998	486.13715	250.81204	422.3493	303.03818	477.5849	554.3666	414.71988
DYNLL1	173933.52	206250.14	177910.5	180773.69	167055.06	196731.03	196365.94	177337.27
DYNLL2	9369.883	9187.841	10935.676	7505.1035	10118.792	8508.861	13492.683	8070.8833
DYNLRB1	5997.562	8806.115	6644.5205	5514.915	6053.132	8182.8374	7078.1514	8254.311
DYNLRB2	19.886946	26.472355	20.954031	18.615143	22.465849	19.911938	21.021088	17.35468
DYNLT1	30734.955	40204.695	29357.436	32296.041	28202.92	36062.867	34484.9	33230.816
DYNLT2B	10762.078	15760.306	11217.574	12242.785	10222.469	14995.956	13176.499	11963.322
DYNLT3	1360.0022	2086.221	1494.0557	1794.9746	1371.7742	1942.3582	1811.4884	1824.6168
DYNLT4	224.17842	217.46205	213.54716	227.76741	230.70279	259.086	266.21674	241.22682
DYRK1A	1823.152	1628.5675	1974.0193	1408.4077	1875.9038	1495.1099	2360.2583	1745.8851
DYRK1B	1841.0408	2668.512	2032.6986	2452.9395	1922.5721	2539.9443	2264.2227	2728.0085
DYRK2	806.60675	1440.4471	851.88184	1110.1802	823.9886	1289.6414	855.7989	1011.41583
DYRK3	699.16016	645.21844	743.63367	474.68454	664.9578	571.8022	831.39453	509.06158
DYRK4	1300.2944	2178.4663	1332.4209	1465.8065	1143.8939	1594.4452	1404.7898	1505.4457
DYSF	100.88381	103.42492	100.48411	99.37706	96.48025	129.82784	99.88764	103.56027
DYTN	8160.7812	8400.823	7521.4185	7007.652	7232.7124	7849.915	10388.187	6341.396
DZANK1	440.75366	471.99615	501.38275	424.7726	461.9027	451.98508	496.68954	411.99728
DZIP1	1025.0267	1944.3878	1051.5248	1661.8068	974.62494	1826.1674	1155.9589	1712.5779
DZIP1L	297.67084	534.5784	310.3222	415.02924	282.83597	438.23166	351.28384	449.66296
DZIP3	2865.849	3516.0022	3117.421	2867.4011	2714.8203	3168.7263	3128.0002	2727.4963
E2F1	4934.751	6716.6396	5531.9224	5699.2065	5293.022	6205.882	6985.1846	6947.7544
E2F2	8979.223	7885.1914	9108.326	5927.9736	7714.2236	6976.472	13915.694	8204.508
E2F3	5222.5483	4960.799	5562.3203	4060.8633	4841.277	4678.7886	6819.5337	4882.5396
E2F4	1286.7478	1133.1715	1268.3169	1090.3807	1265.4779	1053.2577	1457.793	1155.3774
E2F5	1435.0337	2030.974	1470.2374	1739.0892	1342.5742	1800.3827	1472.3011	1687.7843
E2F6	10916.009	16365.404	12030.874	13339.208	10948.956	15668.1875	17063.592	17031.127
E2F7	3589.892	7015.035	3788.0696	5917.4224	3179.921	6530.0454	5945.2603	7564.349
E2F8	774.8973	959.1876	764.6371	761.9342	733.2158	915.2392	879.7359	682.91296
E4F1	1298.3362	1296.4614	1274.1901	1216.7318	1185.9075	1194.6104	1388.6556	1383.05
EAF1	557.5588	652.55664	550.57434	521.42316	504.73138	610.99884	708.78766	606.3809
EAF2	1107.5348	1364.0962	1183.6973	1225.8643	1046.9783	1305.3938	1449.9163	1237.8408
EAPP	3451.717	5585.3003	3926.7324	4418.5137	3495.6687	5108.6978	4505.5405	4978.206
EARS2	1149.1819	1007.97314	1194.0403	792.302	1055.654	955.73254	1355.0756	982.80774
EBAG9	2903.7014	2849.737	2922.5674	2700.073	2639.217	2722.1	3324.1826	2540.6128
EBF3	19.60939	29.672226	23.355	20.419638	24.866848	22.1484	23.53592	19.908293
EBF4	173.5624	205.01408	208.08069	164.99028	164.01996	163.81099	193.92285	179.89938
EBI3	1882.2574	3746.888	2107.514	3152.453	2080.7324	3401.7253	2380.067	3235.5127
EBLN2	583.72	780.6195	639.7737	694.82416	518.3419	634.49475	662.0298	688.23425
EBNA1BP2	168194.58	144080.03	175483.36	120984.47	164973.3	136930.44	206553.31	125151.766
EBP	46742.996	57024.96	44236.98	49883.12	44111.504	54617.254	51146.65	47066.48
EBPL	20952.316	22617.828	22267.879	19236.908	20674.688	21391.01	24937.934	18196.002
ECD	6822.217	9296.256	7262.853	7719.468	6521.8965	8795.853	9430.704	8944.253
ECE1	2361.176	3338.044	2509.0225	2966.6252	2350.9514	3078.339	2706.2253	3071.3022
ECE2	13430.34	12051.012	13969.713	10234.498	12587.459	10850.75	15962.801	11354.547
ECEL1	35.877872	31.559551	32.03994	51.30513	25.287846	21.811775	35.5057	31.05299
ECEL1P2	65.1316	42.088295	45.32868	56.6571	39.636517	33.96643	39.57116	44.154484
ECH1	24940.934	38239.71	26779.18	33378.23	25280.363	34781.047	26572.936	33782.36
ECHDC1	12932.404	16751	14241.17	13087.513	12491.935	14818.365	16508.686	14321.148
ECHDC2	19121.07	32948.17	22365.154	26346.848	19266.268	28623.408	20293.354	29982.793
ECHDC3	233.5111	243.58626	225.02277	222.88882	145.07681	192.41463	140.25223	173.58206
ECHS1	24104.365	30999.395	27361.316	25780.041	25172.488	28323.07	29702.12	26859.703
ECI1	57960.656	79677.414	68285.51	66094.266	64467.91	75052.375	74477.984	66083.695
ECI2	13922.328	16446.85	13989.211	13494.387	12568.004	15123.099	15546.838	14056.862
ECM1	78.06312	188.96547	121.04572	162.62708	112.19907	177.18462	126.00856	186.41574
ECPAS	4561.0024	6368.9165	4399.3306	5753.218	4083.4775	6013.863	4774.6807	5596.6724
ECRG4	19.938314	26.642185	21.20563	18.753801	22.693409	20.09736	21.047674	17.542982
ECSIT	5411.338	4337.8364	5302.7856	3910.7573	4895.3794	3946.0583	5981.657	4284.9834
ECT2	3914.4998	3576.8877	3288.6113	3004.6226	2825.9187	3262.8738	3019.0986	2831.635
ECT2L	19.51265	29.733486	23.162897	20.477802	24.107262	21.74717	23.298193	19.919258
EDA	38.231743	35.4761	49.005978	39.971783	67.46432	65.6833	54.226288	55.736553
EDARADD	76020.445	89078.7	76819.71	77857.61	74297.72	81502.68	80305.805	80320.99
EDC3	1777.8296	3226.0986	2090.709	2908.3	1896.909	2915.3237	2238.8364	3242.812
EDC4	16925.438	18870.637	17577.85	16057.681	16016.982	16793.674	19550.877	17702.666
EDEM1	203.12318	317.90845	271.18842	269.5868	221.83858	315.22134	272.67014	292.66428
EDEM2	1513.459	2137.84	1746.8271	1836.3552	1699.6499	2011.7277	1963.5713	1990.4574
EDEM3	3383.269	6331.1885	4246.743	5741.588	3645.6653	5903.5796	4274.7847	5480.007
EDF1	61419.83	59659.72	60353.477	51201.824	57613.81	57088.625	66094.266	56310.47
EDIL3	55.209667	104.13419	66.68172	103.89252	61.009243	124.86479	86.91134	92.25267
EDN1	7006.068	10146.696	7739.993	9744.239	6780.866	9380.976	11744.38	10911.189
EDN2	41.929493	26.71699	37.34895	19.251808	42.130867	21.46342	60.965378	17.933014
EDN3	769.35486	686.0299	96.5263	82.8148	63.17324	102.0638	145.60902	76.826805
EDRF1	970.6509	1450.7599	1175.9762	1150.3348	1068.1481	1080.8964	1056.686	1133.771
EEA1	1273.9922	1655.5416	1344.0278	1375.6462	1172.429	1578.1	1454.6346	1370.6058
EED	19062.209	25913.41	18972.4	20855.893	16797.348	22870.787	22589.945	22983.059
EEF1A1	485339.78	518343.56	478746.44	456828.28	481089.6	500093.06	526930	473355.28
EEF1A2	62205.65	84700.73	66901.23	73893.15	64823.66	73952.766	71027.25	75409.53
EEF1AKMT1	2404.0603	2277.988	2351.8125	1942.3209	2221.8257	2092.046	2544.9797	1976.4911
EEF1AKMT2	4037.878	4880.5874	4530.056	4394.0034	4305.8105	4736.0166	5576.3174	4606.3335
EEF1AKMT3	510.4728	421.75507	579.9688	367.35312	498.5372	383.90466	599.6401	396.92874
EEF1B2	158624.19	165715.86	179364.12	145398.84	166408.1	159677.7	202697.56	149884.83
EEF1D	93699.81	88951.13	100374.82	78515.86	93543.98	82359.914	111914.36	81503.12
EEF1E1	9949.971	11707.554	10988.974	10435.441	10266.487	10552.026	12207.712	10242.815
EEF1G	163132.12	172483.08	179599.28	156567.56	175914.25	165955.06	196353.22	160321.61
EEF2	39989.125	40138.254	40795.168	33773.316	36698.32	37728.8	44156.52	35744.65
EEF2K	1710.3491	2026.5095	2095.89	1513.8983	1643.406	1701.8534	1912.1172	1461.2933
EEF2KMT	11408.453	11404.427	11188.899	9704.93	10557.252	11043.151	12882.158	6792.2256
EEFSEC	198.36017	182.92339	184.70566	174.86925	224.19147	192.64174	212.10178	199.95041
EEPD1	6129.5923	8561.632	6702.3667	7037.636	5963.09	7711.955	7219.619	6998.102
EFCAB10	19.616838	26.239813	20.563179	18.40322	21.99465	19.536057	20.85635	17.08085
EFCAB11	4337.9536	4829.294	4574.5806	3608.7695	4239.9917	3929.1343	5067.7305	3284.004
EFCAB12	1028.6609	1122.4562	1074.8749	1037.246	1011.686	1113.1011	993.0909	946.43976
EFCAB14	5716.7817	7349.554	5681.129	6010.405	5164.294	6645.162	6210.244	6111.741
EFCAB2	2198.754	3152.5906	2155.6895	2669.973	1997.0642	2935.668	2476.5378	2564.8782
EFCAB3	48.940662	108.66614	39.395714	114.17768	28.846066	104.12838	39.236465	71.22123
EFCAB5	177.45409	97.0966	152.69621	91.70664	169.12952	90.62369	159.4498	88.984604
EFCAB6	19.686337	26.215176	21.041317	18.388674	22.154549	19.747883	20.432566	17.448498
EFCAB7	2122.1536	2695.9656	2345.41	2351.7876	2095.405	2499.654	2555.3977	2150.7305
EFCAB8	20.226988	25.901932	20.231121	18.097502	22.592756	19.726543	20.84024	17.134
EFCC1	24.581533	27.57343	21.763397	19.857075	24.475073	20.75258	21.71517	18.58927
EFEMP1	8554.499	10981.966	9212.082	9037.383	8039.2812	9894.495	10235.053	8531.785
EFEMP2	1416.1686	1682.382	1637.4008	1429.444	1502.2676	1397.4775	1638.2646	1730.2621
EFHB	19.773289	26.12572	20.96348	18.391842	22.228123	19.724556	20.422235	17.353539
EFHC1	22.364965	68.23665	25.26118	63.093697	27.072418	63.890606	24.232042	68.39756
EFHD1	2700.073	3324.5056	2642.9182	2821.521	2523.1165	2960.4739	2851.1125	2623.6575
EFHD2	20437.48	23178.855	23401.908	18769.023	21202.045	20638.518	28378.055	21343.227
EFL1	4919.622	9121.643	5221.858	7458.234	4584.9375	8402.673	6443.1147	8101.169
EFNA1	434.31818	818.81024	469.21567	720.4088	455.27036	780.9999	569.4601	831.3319
EFNA2	35.809906	25.449202	25.52819	33.41262	41.66847	42.24426	42.62051	42.46178
EFNA4	440.00375	610.0524	524.27734	502.12936	744.89813	523.4552	383.65073	349.9486
EFNA5	143.3243	182.28105	144.1515	134.87512	182.3131	202.5321	311.74643	138.63431
EFNB1	2821.1108	3756.2422	3152.926	3207.4077	3089.5063	3509.8718	3999.1138	3189.8286
EFNB2	1097.8163	1138.0254	1241.3439	938.1193	1050.0306	1044.3682	1317.3425	946.1739
EFNB3	207.77205	216.65668	225.0703	237.11333	226.03766	228.26074	231.4408	221.08647
EFR3A	8265.274	6581.041	8592.436	5308.1694	7941.54	5695.862	8873.549	5643.1504
EFR3B	1491.3993	4011.754	1536.7367	3116.91	1424.9109	3606.3774	1785.865	2845.3003
EFTUD2	29154.297	34429.117	29948.188	28488.496	27904.855	31729.475	32900.312	30321.629
EGFEM1P	79.14208	69.19446	24.446953	36.326332	28.08864	29.617004	34.57273	20.515604
EGFL7	2034.3345	2712.6409	2254.2913	2246.1802	1891.8674	2463.448	2380.0166	2348.9087
EGFL8	526.71173	836.69727	667.7099	677.1026	632.34674	667.8821	509.44232	727.02124
EGFLAM	11032.747	11840.079	11275.175	9781.27	10033.92	10910	13042.345	10295.459
EGFR	3624.8645	4534.197	4039.8508	3698.3594	3596.253	4255.1875	4597.3896	3849.6511
EGLN1	3769.3655	4403.4536	4092.993	3848.7197	3782.4097	4052.3816	4721.712	3651.7168
EGLN2	2352.8481	3104.4592	2524.7263	2889.4595	2360.341	2888.5715	2777.6711	3141.461
EGLN3	19.755253	62.46726	21.202888	65.025536	22.332531	69.32595	20.603596	31.914898
EGOT	22.396027	26.916077	21.569475	18.894361	22.741373	20.279772	38.235207	17.923899
EGR1	497.0745	392.5116	1387.9902	988.4683	503.45816	411.4592	2480.2847	1917.5867
EHBP1	930.16473	1755.3246	1029.3907	1704.1938	860.2177	1596.9166	1108.6848	1514.1205
EHBP1L1	2724.197	4118.137	2499.5781	3734.0305	2463.0833	3879.512	2785.7268	4018.1821
EHD1	106401.266	113615.664	112174.03	96487.21	106050.17	107672.016	137810.36	107773.84
EHD2	10247.476	16422.135	10721.562	14222.984	10119.348	14726.077	10999.803	14363.3
EHD3	90.61817	159.12102	120.71683	134.50052	88.8802	148.7855	108.41609	159.13
EHD4	10003.218	9942.509	11276.129	7718.896	10048.145	9273.669	12112.411	8770.625
EHHADH	39.216797	98.0591	83.42835	96.67767	295.53882	103.689705	51.075214	93.10242
EHMT1	2091.6062	2718.8936	2216.1006	2430.2405	2046.4086	2595.6323	2341.2817	2302.2578
EHMT2	1071.5582	1666.5348	1282.3501	1565.2639	1148.8142	1521.3843	1188.8729	1511.7213
EI24	12671.411	13971.865	12904.753	12254.51	12200.549	13107.634	14211.387	12892.193
EID1	86.60667	69.26095	57.639187	131.328	117.309265	132.65215	71.356735	107.35147
EID2	59496.316	59422.15	63712.7	49229.664	61458.492	55781.973	87352.9	65623.66
