gene_symbol	GSM2728750	GSM2728754	GSM2728752	GSM2728758	GSM2728756	GSM2728763	GSM2728759	GSM2728762	GSM2728764	GSM2728766	GSM2728765	GSM2728751	GSM2728753	GSM2728757	GSM2728761	GSM2728760	GSM2728755
1110032F04Rik	60.515625	65.875	62.171875	127.875	47.703125	43.2109375	83.59375	77.1875	35.2890625	88.171875	70.4375	33.984375	38.8125	49.421875	74.84375	42.8125	66.1875
1110034G24Rik	678.125	588.4375	730.875	650.3125	939.75	801.9375	621.25	504.8125	2151.5	659.0	557.125	607.375	387.875	532.8125	741.875	725.25	806.25
1110035E04Rik	143.875	128.625	68.0625	90.25	176.375	62.21875	122.25	89.875	96.125	71.375	122.5	83.625	145.25	180.125	75.375	61.9375	85.9375
1110035H17Rik	123.6875	138.5	132.25	145.0	158.875	119.1875	129.375	115.875	175.5	181.25	128.625	119.6875	115.875	188.5	117.625	110.625	143.0
1110037F02Rik	1017.75	1069.875	862.25	678.375	1294.375	1089.125	938.875	911.5	1184.875	677.625	962.375	827.4375	1084.9375	851.3125	872.0	880.0	1145.75
1110038B12Rik	4568.0	4628.0	4008.0	2696.0	4404.0	4632.0	5472.0	4352.0	4720.0	2554.0	5152.0	4612.0	4528.0	5652.0	5408.0	5148.0	4844.0
1110038F14Rik	929.0	1102.0	671.5	655.0	1105.0	1099.0	626.5	596.0	1215.0	464.25	581.5	813.5	663.5	480.25	693.5	788.5	1120.0
1110046J04Rik	58.5625	27.484375	66.6875	102.3125	53.84375	46.875	49.90625	22.78125	55.03125	102.5625	55.625	26.375	15.2734375	25.59375	66.75	53.59375	67.25
1110050P16Rik	192.375	140.25	268.0	141.875	282.75	170.0	211.25	134.125	214.25	148.0	155.0	199.875	137.25	200.0	194.0	185.0	188.625
1110051M20Rik	824.5	971.5	1227.0	1267.0	1034.0	785.0	706.5	766.0	1113.0	1148.0	998.0	816.5	733.0	1082.0	862.0	563.0	812.0
1110059E24Rik	1300.0	1531.0	1269.0	1014.0	1168.0	1169.0	1237.0	1531.0	1027.0	1265.0	981.0	1312.0	1058.0	862.0	1582.0	1141.0	1286.0
1110059G02Rik	12.5087890625	9.81005859375	14.543212890625	29.3095703125	41.2412109375	17.5078125	18.2376708984375	12.46875	28.70703125	36.05419921875	5.0478515625	4.272705078125	16.82763671875	19.45458984375	32.29150390625	23.203857421875	26.24951171875
1110059G10Rik	4320.0	4472.0	4220.0	3590.0	4900.0	4632.0	3858.0	4332.0	4596.0	3788.0	3874.0	4076.0	3604.0	3734.0	4476.0	4612.0	5368.0
