gene_symbol	GSM1342752	GSM1342755	GSM1342757	GSM1342747	GSM1342753	GSM1342750	GSM1342744	GSM1342748	GSM1342745	GSM1342749	GSM1342751	GSM1342758	GSM1342746	GSM1342754	GSM1342759	GSM1342756
1500002F19Rik	2.9150390625	3.0029296875	3.2744140625	2.974609375	3.0234375	3.046875	2.9794921875	2.98828125	3.13671875	2.966796875	3.0908203125	3.0087890625	2.9775390625	3.1826171875	3.0703125	2.931640625
1500002I01Rik	3.373046875	3.294921875	3.615234375	3.279296875	3.34375	3.26171875	2.9453125	3.2265625	3.072265625	3.2109375	3.19921875	3.30859375	3.03515625	3.3828125	3.19921875	3.275390625
1500002K03Rik	3.271484375	2.8984375	3.123046875	3.203125	3.435546875	2.6640625	3.24609375	3.259765625	3.099609375	2.84765625	2.853515625	3.310546875	3.099609375	3.126953125	3.203125	3.005859375
1500004A13Rik	2.884765625	3.3118489583333335	3.0130208333333335	3.2799479166666665	3.1360677083333335	3.04296875	3.0338541666666665	2.8131510416666665	3.0657552083333335	2.9140625	3.0625	2.94921875	3.0130208333333335	3.0364583333333335	2.9466145833333335	2.8912760416666665
1500004F05Rik	4.91015625	4.96875	4.9140625	4.86328125	5.0859375	5.07421875	5.20703125	4.859375	5.09375	4.91015625	5.171875	5.21875	5.109375	4.765625	4.97265625	5.0390625
1500005C15Rik	3.8447265625	4.1005859375	4.322265625	4.251953125	4.1591796875	4.2021484375	4.142578125	4.255859375	4.3984375	4.197265625	4.3828125	4.158203125	4.296875	4.216796875	4.201171875	4.189453125
1500009C09Rik	3.599609375	3.9375	3.73828125	3.767578125	3.890625	3.791015625	3.88671875	3.947265625	4.0078125	3.8359375	3.810546875	3.80859375	4.1171875	4.00390625	3.888671875	3.853515625
1500009L16Rik	2.6220703125	2.7216796875	2.556640625	2.80859375	2.7041015625	2.6181640625	2.619140625	2.595703125	2.6962890625	2.6201171875	2.7421875	2.408203125	2.6435546875	2.599609375	2.4697265625	2.5380859375
1500011B03Rik	4.8671875	4.95703125	4.564453125	5.619140625	4.85546875	4.7578125	5.259765625	4.9296875	5.5078125	4.80859375	4.90625	4.59375	4.923828125	4.755859375	4.982421875	4.568359375
1500011K16Rik	8.921875	9.1640625	9.5078125	9.4609375	8.9453125	9.5078125	9.328125	9.5703125	9.5703125	9.6328125	9.390625	9.5625	9.65625	9.3203125	9.5234375	9.5546875
1500015A07Rik	4.36328125	5.1328125	4.26171875	4.9609375	4.53515625	4.51171875	4.69921875	4.2265625	4.45703125	4.33984375	4.55859375	4.5078125	4.37890625	4.65234375	4.34765625	4.6484375
1500015O10Rik	2.755859375	2.845703125	2.900390625	2.8548177083333335	2.9029947916666665	2.84375	2.806640625	2.91015625	2.896484375	2.7975260416666665	2.83984375	2.892578125	2.7819010416666665	2.8600260416666665	2.8430989583333335	2.9270833333333335
1500017E21Rik	7.4375	5.21875	4.04296875	5.4296875	5.5	5.19140625	6.33203125	4.85546875	6.609375	4.7421875	5.44921875	3.984375	6.33984375	6.28515625	5.16796875	3.28125
1500032P08Rik	6.30859375	6.3046875	6.0	5.6875	6.296875	6.01171875	6.25390625	6.03515625	5.8671875	6.0078125	5.97265625	6.34375	6.0	6.39453125	6.11328125	6.16796875
1500035N22Rik	4.859375	5.00390625	5.046875	5.1640625	5.00390625	5.37109375	4.98828125	5.125	5.25390625	4.90625	5.04296875	4.96875	5.01171875	4.89453125	5.01171875	5.0
1520401O13Rik	4.001953125	4.048828125	4.287109375	4.04296875	4.107421875	3.8427734375	3.779296875	3.7333984375	3.9462890625	4.0341796875	4.0634765625	4.28125	3.7802734375	3.75	4.291015625	4.48046875
1600002H07Rik	8.6328125	9.46875	7.94140625	8.1875	8.9296875	8.5859375	8.6015625	8.0703125	8.875	8.71875	8.1640625	8.2109375	9.1484375	9.15625	8.3203125	7.984375
1600002K03Rik	6.6953125	6.89453125	6.91015625	6.8203125	6.7109375	6.8515625	6.6796875	6.63671875	6.71484375	6.7890625	6.80859375	7.046875	6.88671875	6.87890625	6.85546875	7.06640625
1600010M07Rik	5.40234375	5.2734375	5.7890625	5.36328125	5.48046875	5.4453125	5.57421875	5.67578125	5.4296875	5.6484375	5.5859375	5.64453125	5.4765625	5.31640625	5.4765625	5.71875
1600012H06Rik	7.98046875	7.79296875	7.724609375	7.931640625	7.642578125	7.73046875	7.986328125	7.873046875	7.802734375	7.892578125	7.953125	7.650390625	8.107421875	7.806640625	7.724609375	7.5859375
1600012P17Rik	5.296875	5.33203125	5.375	5.45703125	5.41796875	5.59765625	5.4921875	5.21484375	5.53125	5.13671875	5.57421875	5.47265625	5.375	5.12890625	5.28515625	5.40625
1600014C10Rik	6.65771484375	6.685546875	6.49951171875	6.59716796875	6.892578125	6.61865234375	6.58642578125	6.5673828125	6.63427734375	6.61279296875	6.525390625	6.416015625	6.5595703125	6.51416015625	6.4794921875	6.44140625
1600014C23Rik	5.29296875	5.3671875	5.359375	5.34375	5.74609375	5.46875	5.375	5.328125	5.46484375	5.546875	5.3515625	5.3671875	5.37109375	5.23046875	5.2890625	5.6171875
1600015I10Rik	4.1953125	4.65234375	4.47265625	4.11328125	4.1875	4.49609375	3.98046875	4.2421875	4.3984375	4.0078125	4.27734375	4.23046875	4.203125	4.33203125	4.18359375	4.4453125
1600020E01Rik	7.875	8.125	7.671875	7.70703125	7.78515625	7.73828125	7.67578125	7.52734375	7.60546875	7.5859375	7.55859375	7.69921875	7.70703125	8.0546875	7.7109375	7.67578125
1600022D10Rik	2.869140625	2.943359375	2.71875	2.736328125	2.81640625	2.615234375	2.490234375	2.583984375	2.71875	2.58203125	2.705078125	2.541015625	2.6328125	2.791015625	2.626953125	2.8125
1600023N17Rik	3.626953125	3.806640625	3.669921875	4.3046875	4.02734375	3.76953125	3.57421875	3.9765625	3.701171875	3.892578125	3.88671875	3.9296875	3.814453125	3.87109375	3.744140625	3.5234375
